0.76,0.446614623,,,0.76,0.45
0.69,0.642409086,,,0.69,0.64
0.77,0.81020236,,,0.77,0.81
0.79,0.776041865,,,0.79,0.78
0.46,0.534804106,,,0.46,0.53
0.13,0.234668046,,,0.13,0.23
0.48,0.408830106,,,0.48,0.41
0.96,0.884451032,,,0.96,0.88
1,0.902291298,,,1,0.90
1,1.029625893,,,1,1.00
0,0.001244858,,,0,0.00
0.94,1.030653477,,,0.94,1.00
0.79,0.821257353,,,0.79,0.82
0.97,0.937573195,,,0.97,0.94
1,1.0554564,,,1,1.00
1,0.80746901,,,1,0.81
1,1.029306054,,,1,1.00
0.7,0.740399122,,,0.7,0.74
0.78,0.801762342,,,0.78,0.80
0.54,0.152363375,,,0.54,0.15
0.76,0.620898247,,,0.76,0.62
0.8,0.813745022,,,0.8,0.81
0.58,0.631439567,,,0.58,0.63
0.93,0.833046079,,,0.93,0.83
0.45,0.543851495,,,0.45,0.54
0.66,0.592204094,,,0.66,0.59
0.84,0.397971064,,,0.84,0.40
0.61,0.638347864,,,0.61,0.64
0.52,0.592679501,,,0.52,0.59
0.99,0.928960919,,,0.99,0.93
0.4,0.225772589,,,0.4,0.23
0.9,0.973194122,,,0.9,0.97
0.29,0.400234699,,,0.29,0.40
0.86,0.841059566,,,0.86,0.84
0.19,0.352819204,,,0.19,0.35
0.81,0.9250139,,,0.81,0.93
0.74,0.850190282,,,0.74,0.85
0.69,0.816400528,,,0.69,0.82
0.91,0.742032409,,,0.91,0.74
0.6,0.671221256,,,0.6,0.67
0.89,0.807451487,,,0.89,0.81
0.28,0.323125631,,,0.28,0.32
0.87,0.819283128,,,0.87,0.82
0.71,0.965274811,,,0.71,0.97
0.74,0.826707006,,,0.74,0.83
0.88,0.796188474,,,0.88,0.80
0.37,0.25688839,,,0.37,0.26
0.53,0.798476219,,,0.53,0.80
0.67,0.772780299,,,0.67,0.77
0.5,0.591203094,,,0.5,0.59
0.49,0.323892027,,,0.49,0.32
0.73,0.630491018,,,0.73,0.63
0.82,0.701045394,,,0.82,0.70
0.9,0.853885531,,,0.9,0.85
0.22,0.222721919,,,0.22,0.22
0.78,0.809122324,,,0.78,0.81
0.48,0.743681788,,,0.48,0.74
