Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
8040,checkstyle,NoFinalizerCheck,4,26,47,34,0,154,118,850,9,0,6,81,11,3.5925925925925926,14.061728395061728,84.4074074074074,448,2286,3630802,27,71,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8041,checkstyle,PackageNamesLoaderTest,9,89,285,1531,2,266,758,5613,97,0,6,635,11,2.505511811023622,9.040944881889764,47.55748031496063,2727,19937,-1941693370,34,486,3,3,0,0,0,0,0,0,0,0,0,1,0,0
8042,checkstyle,PackageObjectFactory,31,128,986,10465,4,5346,4492,31175,252,3,19,2154,17,2.4317548746518107,8.341689879294336,47.880222841225624,13302,255526,1230410817,48,1872,3,3,1,1,0,19,3,1,0,0,0,0,0,0
8043,checkstyle,CustomProblem,1,6,8,0,1,0,16,174,0,0,4,10,9,7.8,33.8,213,107,417,312,13,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8044,checkstyle,ValueReference,0,3,3,0,0,0,5,41,0,0,0,0,3,0,0,0,27,127,127,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8045,checkstyle,InputNoWhitespaceBeforeMethodRef,2,11,30,0,0,0,53,327,0,0,1,54,10,3.7777777777777777,15.074074074074074,86.33333333333333,227,811,1117,15,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8046,checkstyle,SecondClassLongNam3,5,11,21,37,1,0,39,345,0,0,4,19,7,6.842105263157895,20.210526315789473,79.78947368421052,189,771,1177,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8047,checkstyle,InputEmptyForIteratorPad,2,4,35,0,21,0,130,300,0,0,12,135,8,2.074074074074074,6.148148148148148,25.762962962962963,390,1390,6092,13,87,0,0,12,0,0,0,0,0,0,0,0,0,0,0
8048,checkstyle,SecondClassLongNam4,5,11,21,37,1,0,39,357,0,0,4,19,7,6.842105263157895,20.210526315789473,79.78947368421052,189,771,1177,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8049,checkstyle,InputCustomImportOrderNoPackage2,0,1,1,0,0,0,2,39,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8050,checkstyle,SecondClassLongNam6,5,11,21,37,1,0,39,345,0,0,4,19,7,6.842105263157895,20.210526315789473,79.78947368421052,189,771,1177,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8051,checkstyle,TypeNameTest,2,24,155,683,0,0,495,2394,35,0,1,317,9,1.637223974763407,3.6624605678233437,12.823343848580441,2086,32430,1409331528,19,288,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8052,checkstyle,MethodCallHandler,10,69,262,12,0,1189,634,4667,86,0,7,521,13,2.7159309021113245,10.712092130518235,64.44337811900192,1803,8695,1279044449,32,415,0,0,1,0,0,13,5,1,1,0,0,0,0,0
8053,checkstyle,SecondClassLongNam7,5,11,21,37,1,0,39,418,0,0,4,19,7,6.842105263157895,20.210526315789473,79.78947368421052,189,771,1177,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8054,checkstyle,BooleanExpressionComplexityCheck,17,55,213,43,2,1614,614,4258,28,2,25,336,10,3.2470238095238093,10.633928571428571,50.88988095238095,2665,32521,881890203,39,321,0,0,0,7,0,3,0,3,0,0,0,0,0,0
8055,checkstyle,SecondClassLongNam8,5,11,21,37,1,0,39,345,0,0,4,19,7,6.842105263157895,20.210526315789473,79.78947368421052,189,771,1177,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8056,checkstyle,AvoidNestedBlocksCheck,5,22,44,14,1,1030,243,1759,8,1,8,69,12,4.3478260869565215,18.057971014492754,120.69565217391305,494,3110,479004308,32,75,0,0,0,0,0,1,0,1,3,0,0,0,0,0
8057,checkstyle,InputOneStatementPerLineMultiline,9,46,104,16,39,1502,466,2525,2,0,27,221,11,3.7058823529411766,14.276018099547512,83.41628959276018,1565,17263,-775943663,26,197,4,4,4,0,0,0,0,0,0,0,0,0,0,0
8058,checkstyle,InputPackageDeclarationDiffDirectoryAtParent,1,4,4,0,0,0,7,93,0,0,1,1,4,22,46,124,43,157,65,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8059,checkstyle,InputCustomImportOrderNoImports,0,1,1,0,0,0,2,44,0,0,0,0,2,0,0,0,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8060,checkstyle,XpathRegressionExplicitInitializationTest,3,26,64,318,1,0,168,1436,11,0,2,137,11,2.948905109489051,12.02919708029197,74.02919708029196,542,2228,7586,24,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8061,checkstyle,MethodTypeParameterNameTest,3,28,65,259,0,0,170,1129,13,0,2,121,9,2.4710743801652892,7.148760330578512,32.17355371900826,627,3063,48830,21,107,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8062,checkstyle,TreeTableCellRenderer,6,46,92,54,4,571,241,1878,15,1,15,128,11,4,14.734375,83.96875,997,7215,-1880271136,31,136,0,0,0,0,0,4,1,1,0,0,0,0,0,0
8063,checkstyle,InputSuppressionCommentFilterSuppressById,0,5,5,0,3,0,10,129,0,0,4,0,4,0,0,0,96,428,879,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8064,checkstyle,InputEqualsAvoidNullNested,1,11,25,23,1,0,74,287,6,0,2,60,13,3.1333333333333333,17.1,147.33333333333334,178,546,842,22,45,0,0,1,2,0,4,0,0,1,0,0,0,0,0
8065,checkstyle,XpathFileGeneratorAuditListenerTest,14,101,374,2436,14,30,1066,7563,55,0,14,705,10,2.554609929078014,7.876595744680851,35.788652482269505,5341,75321,-1457597027,31,598,1,1,1,0,0,0,0,0,0,0,0,1,0,0
8066,checkstyle,CommentSuppressor,2,11,23,0,0,199,52,558,1,1,5,16,7,6.125,17.5,72.875,231,1415,364520,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8067,checkstyle,InputVisibilityModifierSimple,2,32,43,4,21,534,206,1194,0,0,26,62,8,5.354838709677419,12.935483870967742,46.58064516129032,1016,9814,109685979,26,78,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8068,checkstyle,RegexpMultilineCheck,7,33,74,4,0,799,197,1696,10,5,13,83,15,5.325301204819277,25.349397590361445,212.57831325301206,902,8338,-898423266,23,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8069,checkstyle,CodeSelector,2,23,49,0,0,188,118,821,7,1,1,74,12,3.864864864864865,17,116.64864864864865,370,1584,10736,24,69,0,0,0,0,0,1,1,0,0,0,0,0,0,0
8070,checkstyle,InputBlockCommentPositionOnField,0,5,5,0,0,51,27,129,0,0,3,0,4,0,0,0,70,284,191,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8071,checkstyle,InvalidNonDefaultConstructorClass,4,8,18,0,3,0,38,305,2,0,6,28,9,4.678571428571429,16.821428571428573,91.25,234,1316,363841,19,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8072,checkstyle,InputMissingDeprecatedClass,0,1,1,0,0,55,13,95,0,0,0,0,2,0,0,0,9,27,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8073,checkstyle,MainFrameModelTest,12,85,288,1007,2,0,650,5239,90,0,12,547,11,2.6160877513711154,8.729433272394882,43.44241316270567,2712,21832,36134143,35,461,3,3,1,3,0,0,0,0,0,0,0,1,0,0
8074,checkstyle,XpathRegressionRightCurlyTest,5,36,133,771,4,0,380,2861,27,0,4,301,11,2.6777408637873754,10.651162790697674,63.3156146179402,1118,4802,369707,24,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8075,checkstyle,InputMethodLengthModifier,10,18,22,0,3,593,171,1150,0,0,17,7,6,23.857142857142858,48.142857142857146,140.42857142857142,697,5413,483005975,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8076,checkstyle,JavaFileFilter,2,10,12,16,0,25,26,222,1,0,1,9,6,6.777777777777778,18.555555555555557,69.44444444444444,132,728,5916,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8077,checkstyle,FallThroughTest,2,21,40,210,0,0,125,682,5,0,1,94,9,2.24468085106383,6.712765957446808,31.47872340425532,421,2483,39918759,19,75,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8078,checkstyle,ParenPadNoSpace,3,11,21,5,9,0,88,339,1,0,5,71,18,4.380281690140845,35.647887323943664,436.5492957746479,208,634,407,32,47,1,1,2,1,0,1,0,0,0,0,0,0,0,0
8079,checkstyle,TreeMapNode,2,6,10,0,0,0,12,115,0,0,1,2,5,22.5,57.5,190.5,80,342,776,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080,checkstyle,ExecutableStatementCountCheckTest,10,55,214,739,40,0,632,4026,62,0,9,537,13,2.4208566108007448,8.860335195530727,50.364990689013034,2111,10303,1935695739,30,429,2,2,0,0,0,0,0,0,0,0,0,1,0,1
8081,checkstyle,InputRequireThisEnumInnerClassesAndBugs,4,13,28,0,4,0,72,307,6,2,7,62,9,3.3870967741935485,11.838709677419354,57.87096774193548,281,1359,363779,20,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8082,checkstyle,JavadocPropertiesGeneratorTest,15,70,312,2502,4,371,1053,7045,128,0,13,631,11,2.7892234548335977,10.247226624405705,56.90332805071316,3170,23866,1341509613,28,594,7,7,0,0,0,0,0,0,0,0,0,1,0,0
8083,checkstyle,SuppressionXpathRegressionImportControlTwo,0,1,1,0,0,0,2,55,0,0,0,0,2,0,0,0,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8084,checkstyle,ModifierOrderCheck,7,56,179,144,1,1625,705,4209,34,0,10,355,16,3.101408450704225,13.912676056338029,107.73802816901409,1562,9430,-1811635735,38,293,0,0,3,1,0,11,4,3,3,0,0,0,0,0
8085,checkstyle,InputRequireThisCaseGroup,3,8,33,6,3,0,77,482,0,4,3,81,10,3.2222222222222223,13.419753086419753,83.5925925925926,339,1427,6496,23,59,0,0,0,0,0,3,0,0,0,0,0,0,0,0
8086,checkstyle,SingleSpaceSeparatorCheck,14,43,152,28,7,3756,740,5762,31,1,25,193,13,3.906735751295337,14.487046632124352,86.25906735751295,1657,15459,-1194863450,33,221,0,0,1,0,0,2,0,4,1,0,0,0,0,0
8087,checkstyle,UnmodifiableList,0,4,6,16,0,0,16,105,0,0,0,0,5,0,0,0,37,105,44,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8088,checkstyle,InputInterfaceMemberImpliedModifierMethodsOnInterface,8,10,11,0,1,0,33,328,0,0,9,11,6,6.454545454545454,14.272727272727273,49,233,1529,3629168,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8089,checkstyle,NonAAAAbstractClassName,0,1,1,0,0,0,2,38,0,0,0,0,2,0,0,0,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8090,checkstyle,RightCurlyCheckTest,25,61,722,3375,133,0,3238,15471,260,0,24,1945,11,2.084318766066838,6.408226221079691,29.295629820051413,10472,196702,1724153367,24,1694,1,1,0,0,0,0,0,0,0,0,0,1,0,1
8091,checkstyle,Chars,0,6,7,0,3,0,11,56,0,0,5,0,4,0,0,0,78,308,759,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8092,checkstyle,EqualsVsHashCode3,2,5,5,0,1,0,12,100,0,0,2,6,5,6.666666666666667,18,61.666666666666664,66,266,187,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8093,checkstyle,EqualsVsHashCode4,3,8,14,0,1,0,29,251,0,0,3,9,9,14.444444444444445,64.66666666666667,393.77777777777777,131,463,343,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8094,checkstyle,SimplifyBooleanExpressionCheckTest,3,24,45,244,0,0,125,964,14,0,2,91,9,2.659340659340659,9.010989010989011,44.46153846153846,358,1406,2066,20,80,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8095,checkstyle,EqualsVsHashCode5,1,4,5,0,1,0,11,71,0,0,2,5,6,6.8,21.6,93.2,56,262,743,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
