Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
8096,checkstyle,InputXpathQueryGenerator,5,51,76,24,9,70,150,939,3,0,14,88,9,6.2272727272727275,22,109.6590909090909,879,6815,-288516342,39,116,0,0,2,2,0,0,0,0,0,0,0,0,0,0
8097,checkstyle,InputLeftCurlyNlSwitch,1,3,8,0,9,78,67,293,0,0,2,52,8,2.230769230769231,6.846153846153846,31.653846153846153,413,6095,-898432888,19,22,0,0,0,7,0,0,0,0,0,0,0,0,0,0
8098,checkstyle,EqualsVsHashCode6,1,5,6,0,0,0,11,81,0,0,1,3,6,13,40.333333333333336,167,58,264,745,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8099,checkstyle,InputJavadocMethodCheck,11,16,22,152,2,132,144,594,2,0,6,47,6,4.212765957446808,12.085106382978724,45.06382978723404,466,4234,2004310528,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8100,checkstyle,InputParenPadForWhitespace,2,4,35,0,21,0,130,302,0,0,12,135,8,2.074074074074074,6.148148148148148,25.762962962962963,390,1390,6092,13,87,0,0,12,0,0,0,0,0,0,0,0,0,0,0
8101,checkstyle,FinalVariableCandidate,1,5,11,0,0,223,50,434,0,1,2,7,7,10.428571428571429,31.285714285714285,136.42857142857142,156,860,40549,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8102,checkstyle,EqualsVsHashCode1,1,3,4,0,1,0,9,68,0,0,2,5,6,6.2,20.6,91.4,44,170,141,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8103,checkstyle,AbstractClassInfo,3,8,16,33,0,331,88,624,0,0,0,18,9,6.5,23.72222222222222,132.5,236,1406,364023,23,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8104,checkstyle,EqualsVsHashCode2,1,4,4,0,0,0,7,71,0,0,1,3,5,9,25,89,41,163,139,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8105,checkstyle,InputOuterTypeNumberSimple,8,53,65,4,27,741,291,1690,0,0,46,98,8,4.6938775510204085,10.63265306122449,35.48979591836735,1658,21542,-286688023,26,106,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8106,checkstyle,InputModifiedControlVariableEnhancedForLoopVariable,1,6,10,21,0,0,30,170,1,0,1,26,9,3.1153846153846154,13.73076923076923,85.03846153846153,80,224,82,18,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8107,checkstyle,JavadocParseTreeTest,60,72,365,4133,0,66,1132,10326,173,0,57,593,8,3.672849915682968,11.534569983136594,49.49747048903878,7499,277809,44038,18,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8108,checkstyle,DebugFilter,3,9,12,0,0,0,22,213,0,0,4,15,6,5.6,15.733333333333333,58.8,167,925,41137,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8109,checkstyle,CheckWhichDoesNotRequireCommentNodes,4,28,72,247,2,46,192,1323,15,0,11,154,10,2.8051948051948052,10.116883116883116,53.02597402597402,656,3022,371471,32,123,0,0,1,0,0,3,0,0,0,0,0,0,0,0
8110,checkstyle,InputSingleSpaceSeparatorMinColumnNo,0,2,2,0,1,0,4,56,0,0,1,0,4,0,0,0,17,43,15,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
