project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,isAssertionRoulette,isEagerTest,isLazyTest,isMysteryGuest,isSensitiveEquality,isResourceOptimism,isForTestersOnly,isIndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WMC_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,BUSWEIMER_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WMC_test,NOA_test,NOPA_test,NOP_test,McCABE_test,BUSWEIMER_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableDematerializeTest.java,io.reactivex.internal.operators.observable.ObservableDematerializeTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableDematerialize.java,io.reactivex.internal.operators.observable.ObservableDematerialize,1,2,1,1,0,0,0,0,0,0,1,103,385.3454944,3,4,1,1,0,0,1,1,0,0,-2,0,0,0,0,0,2,0,0,0,3,0,178,585.1084924,118,10,106,106,0,0,66,66,0,0,-0.2,0,0,0,22,0,12,0,0,0,26,0,0,0,0,0,0,0,0,0,0.708059433,0.430277387
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableHideTest.java,io.reactivex.internal.operators.observable.ObservableHideTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableHide.java,io.reactivex.internal.operators.observable.ObservableHide,1,2,1,1,0,0,0,0,0,0,0,80,401.2932804,3,3,1,1,0,0,1,1,0,0,-2,0,0,0,0,0,2,0,0,0,2,0.000734697,81,235.1514383,33,7,28,28,0,0,10,10,0,0,-0.666666667,0,0,0,4,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0.822114878,0.566659611
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableScalarXMapTest.java,io.reactivex.internal.operators.observable.ObservableScalarXMapTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableScalarXMap.java,io.reactivex.internal.operators.observable.ObservableScalarXMap,0.771929825,57,0.944444444,1,0,0,0,0,0,0,0,256,1706.057608,13,10,10,10,0,0,3,3,0,0,-2,0,0,0,0,0,3,0,0,0,10,0,238,716.1017183,71,9,50,50,0,0,210,210,0,5,-0.078947368,0,0,0,3,0,21,0,0,0,54,0,0,0,0,0,0,0,0,0,0.754863788,0.638635458
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableFromIterableTest.java,io.reactivex.internal.operators.observable.ObservableFromIterableTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableFromIterable.java,io.reactivex.internal.operators.observable.ObservableFromIterable,0.647058824,17,0.739130435,1,0,0,0,1,0,0,0,164,681.4471772,9,7,7,7,1,1,0,0,1,1,0,0,1,0,0,0,2,1,0,0,6,0,352,1227.947677,150,16,112,18,4,1,638,573,65,83,0.069069069,11,0.105263158,2,7,1.5,38,4,0,0,74,0,0,0,0,0,0,0,0,0,0.73577752,0.792441593
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableTakeLastTimedTest.java,io.reactivex.internal.operators.observable.ObservableTakeLastTimedTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableTakeLastTimed.java,io.reactivex.internal.operators.observable.ObservableTakeLastTimed,0.875,8,1,1,0,0,0,0,0,0,0,182,1003.934633,3,6,1,1,6,5,0,0,1,1,0,0,1,0,0,0,2,6,0,0,2,0,279,569.3203306,125,10,110,110,0,0,105,105,0,0,-0.153846154,0,0,0,16,0,15,0,0,0,21,0,0,0,0,0,0,0,0,0,0.719467005,0.520314566
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableGroupByTest.java,io.reactivex.internal.operators.observable.ObservableGroupByTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableGroupBy.java,io.reactivex.internal.operators.observable.ObservableGroupBy,0.666666667,6,1,1,0,0,1,0,0,0,0,357,1750.97471,3,12,1,1,4,4,0,0,1,1,0,0,1,0,0,0,2,4,0,0,2,0,1541,5490.104579,806,18,645,6,8,6,12819,12758,61,672,0.040251572,22,0.026397516,4,34,1.08490566,161,8,0,2,358,0,0,0,0,0,0,1,0,0,0.649510899,0.690812096
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableMergeWithCompletableTest.java,io.reactivex.internal.operators.observable.ObservableMergeWithCompletableTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableMergeWithCompletable.java,io.reactivex.internal.operators.observable.ObservableMergeWithCompletable,1,5,1,1,0,0,0,0,0,0,1,145,809.7471326,4,5,2,2,1,1,0,0,1,1,0,0,1,0,0,0,2,1,0,0,2,0,138,449.8359329,68,8,57,57,0,0,55,55,0,2,-0.177777778,0,0,0,4,0,11,0,0,0,14,0,0,0,0,0,0,0,0,0,0.75169795,0.717981905
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservableTakeTest.java,io.reactivex.internal.operators.observable.ObservableTakeTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservableTake.java,io.reactivex.internal.operators.observable.ObservableTake,1,3,1,1,0,0,0,0,0,0,0,102,494.4882518,3,4,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,1,0,0,2,0,411,2053.480484,238,18,206,8,1,1,495,494,1,57,0.055913978,30,0.0625,1,19,1,32,1,0,1,61,0,0,0,0,0,0,0,0,0,0.770581179,0.606878569
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/observable/ObservablePublishTest.java,io.reactivex.internal.operators.observable.ObservablePublishTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/observable/ObservablePublish.java,io.reactivex.internal.operators.observable.ObservablePublish,0.782608696,46,1,1,1,0,0,0,0,0,1,385,2365.157768,14,10,9,9,3,2,2,0,8,8,0.666666667,1,0.6,1,1,0,5,3,0,0,13,0,761,2909.398717,377,18,307,8,1,1,2414,2413,1,99,0.012787724,68,0.028571429,1,18,1.783783784,70,1,0,0,115,0,0,0,0,0,0,0,0,0,0.607029717,0.609977157
RxJava,,be0353cc6334fbb60a285f2f4f4ba88150f099e6,/home/ubuntu/scripts_mutation/projects/RxJava/src/test/java/io/reactivex/internal/operators/flowable/FlowableConcatMapEagerTest.java,io.reactivex.internal.operators.flowable.FlowableConcatMapEagerTest,/home/ubuntu/scripts_mutation/projects/RxJava/src/main/java/io/reactivex/internal/operators/flowable/FlowableConcatMapEager.java,io.reactivex.internal.operators.flowable.FlowableConcatMapEager,1,6,1,1,0,0,0,0,0,0,1,375,1685.112788,3,12,1,1,4,3,0,0,1,1,0,0,1,0,0,0,2,4,0,0,2,0,1336,3968.790396,743,16,619,34,4,2,7013,6400,613,632,0.067839531,37,0.100806452,5,38,1.111111111,124,4,0,0,240,0,0,0,0,0,0,1,0,0,0.594499234,0.622364729
