Nº,Project,TestClassName,Assrtions,Conditions,TryCatch,Loop,Hamcrest,Mockito,BadApi,LOC,Expressions,Depth,Vocabulary,Understandability,BodySize,Dexterity,NonWhiteCharacters
1595,junit4,EmptyCategoriesSuite,0,0,0,0,0,0,0,0,16,5,7,69,0,2,146
1596,junit4,MethodWrongTypedField,0,0,0,0,0,0,0,3,8,5,5,68,4,2,92
1597,junit4,Enclosing,0,0,0,0,0,0,0,18,43,7,10,393,30,2,272
1598,junit4,AnnotationsValidatorTest,2,0,0,0,2,0,0,31,148,9,49,1386,103,2,1960
1599,junit4,BeforeClassWithIgnoredClass,2,0,0,0,0,0,0,6,16,6,9,122,10,2,183
1600,junit4,WithNamedDataPoints,2,0,0,1,1,0,0,26,106,10,33,1126,71,2,1145
1601,junit4,Computer,0,0,0,0,0,0,0,12,39,12,15,657,42,3,825
1602,junit4,TestListener,0,0,0,0,0,0,0,15,64,7,19,610,41,3,670
1603,junit4,StubbedTheoryAnchor,0,1,0,2,0,0,0,51,97,11,36,887,102,3,1010
1604,junit4,Failure,0,0,0,0,0,0,0,35,91,8,27,950,67,3,1603
1605,junit4,Fail,0,0,0,0,0,0,0,6,15,6,7,126,8,3,149
1606,junit4,SortableTest,6,0,0,0,0,0,0,127,337,12,53,3861,339,2,2768
1607,junit4,FilteredTests,0,0,0,0,0,0,0,0,1,2,1,3,0,2,30
1608,junit4,RunSlowFromVerySlow,0,0,0,0,0,0,0,0,14,6,7,62,0,2,135
1609,junit4,ClassRequest,0,2,0,0,0,0,0,28,50,15,14,553,43,3,567
1610,junit4,ClassRequestTest,1,0,0,0,0,0,0,6,21,9,11,181,15,2,251
1611,junit4,IgnoredClassRunner,0,0,0,0,0,0,0,9,28,7,13,234,18,3,311
1612,junit4,HasAssumeWithMessage,0,0,0,0,0,0,0,3,10,6,7,77,6,3,143
1613,junit4,IgnoredTest,1,0,0,0,0,0,0,3,12,6,7,72,4,2,92
1614,junit4,SampleTestWithValidatorThatThrowsException,0,0,0,0,0,0,0,0,6,6,4,31,0,2,116
1615,junit4,CustomTestName,0,0,0,0,0,0,0,10,25,12,13,307,25,2,261
1616,junit4,ClassRoadie,0,0,4,2,0,0,0,82,122,12,36,1532,169,3,1322
1617,junit4,CallsMethodReturningRuleOnlyOnce,1,0,0,0,0,0,0,16,37,12,19,421,33,2,391
1618,junit4,ClassWithDummyField,0,0,0,0,0,0,0,0,10,4,5,79,0,2,129
1619,junit4,TestWatcherSkippedThrowsExceptionTest,0,0,0,0,0,0,0,6,23,11,14,268,12,2,304
1620,junit4,AllTests,0,0,0,0,0,0,0,3,7,6,5,178,3,4,393
1621,junit4,RejectAllTestsFilter,0,0,0,0,0,0,0,6,15,6,9,115,8,3,188
1622,junit4,OldTests,0,0,0,0,0,0,0,3,14,8,7,91,9,2,105
1623,junit4,HasIgnoredFailingMultipleDataPointMethod,0,0,0,0,0,0,0,3,21,7,13,186,6,2,256
1624,junit4,HasDataPointsFieldWithNullValue,0,0,0,0,0,0,0,0,11,5,5,90,1,2,150
1625,junit4,ValidationTest,2,0,0,0,0,0,0,13,54,12,24,490,50,2,597
1626,junit4,HasFailingAssumeInBefore,1,0,0,0,0,0,0,6,12,6,7,91,9,2,145
1627,junit4,MultipleCallsTest,0,0,0,0,0,0,0,7,13,6,8,111,6,2,164
1628,junit4,FailOnTimeout,0,14,4,3,0,0,0,317,469,12,99,6028,601,3,6960
1629,junit4,DataPointMethodsMustBeStatic,0,0,0,0,0,0,0,6,21,7,10,189,14,2,223
1630,junit4,MethodMustBeATestRule,0,1,0,0,0,0,0,7,30,10,18,308,17,3,367
1631,junit4,PositiveInts,1,0,0,0,0,0,0,10,32,8,10,250,22,2,211
1632,junit4,ExampleTest,0,0,0,0,0,0,0,0,3,3,3,31,1,3,68
1633,junit4,FilterOptionIntegrationTest,10,0,0,0,8,0,0,127,453,10,58,4285,423,2,4426
1634,junit4,TwoOldTests,0,0,0,0,0,0,0,0,4,3,4,51,2,3,87
1635,junit4,SomeAreSlow,0,0,0,0,0,0,0,0,38,7,10,287,5,2,317
1636,junit4,TestClassTest,21,0,0,0,13,0,4,164,475,11,89,4719,534,2,4717
1637,junit4,MethodSorter,0,4,0,0,0,0,0,59,119,13,28,1625,123,2,1599
1638,junit4,FilterFactories,0,1,2,0,0,0,0,60,150,11,34,1603,144,3,2105
1639,junit4,ShouldFilterOutNullSingleDataPoints,1,0,0,0,1,0,0,3,27,7,13,191,7,2,248
1640,junit4,VanillaCategorizedJUnitTest,1,0,0,0,0,0,0,3,12,6,7,75,6,2,124
1641,junit4,MemberMustBeStatic,0,1,0,0,0,0,0,7,23,10,14,261,17,3,293
1642,junit4,RunAllAfterClasses,0,0,0,0,0,0,0,9,24,7,12,226,17,2,227
1643,junit4,InheritanceAnyTest,4,0,0,0,0,0,0,12,54,6,17,413,19,2,332
1644,junit4,TestClassUsingParameterSupplier,0,0,0,0,0,0,0,0,14,7,9,93,1,2,161
1645,junit4,NonPublicTestWithClassRule,0,0,0,0,0,0,0,0,7,6,5,48,0,2,106
1646,junit4,TypeSafeMatcher,0,1,0,2,0,0,0,31,110,13,30,1146,100,5,1378
1647,junit4,JUnitCore,0,0,1,0,0,0,0,82,250,9,53,2730,184,3,4092
1648,junit4,TheoriesPerformanceTest,1,0,0,0,1,0,0,7,43,9,18,426,16,2,365
1649,junit4,OnlyTestIsIgnored,0,0,0,0,0,0,0,0,6,4,4,43,1,2,69
1650,junit4,IgnoreClassTest,4,0,0,0,0,0,0,16,37,9,15,298,34,2,306
1651,junit4,MethodExampleTestWithCustomClassRule,2,0,0,0,0,0,0,9,28,7,10,223,19,2,288
1652,junit4,SimpleClass,0,0,0,0,0,0,0,0,1,2,1,6,0,2,30
1653,junit4,NonPublicClass,0,0,0,0,0,0,0,0,1,2,1,3,0,2,27
1654,junit4,Super,0,0,0,0,0,0,0,0,2,3,2,15,1,2,36
1655,junit4,StuckStatement,0,0,1,1,0,0,0,19,36,8,15,356,46,3,416
1656,junit4,ObjectContractTest,1,0,1,0,1,0,0,27,78,10,27,644,58,2,585
1657,junit4,AnnotationValidatorFactoryTest,1,0,0,0,1,0,0,42,114,10,32,1036,109,2,1855
1658,junit4,TestStatement,0,1,0,0,0,0,0,11,16,7,9,143,12,3,203
1659,junit4,ExcludedTest1,1,0,0,0,0,0,0,3,10,6,6,62,4,2,87
1660,junit4,TestWithProtectedClassRule,0,0,0,0,0,0,0,0,7,6,5,52,0,2,115
1661,junit4,SonOfWrongTypedField,0,0,0,0,0,0,0,0,2,3,2,12,0,3,61
1662,junit4,ExcludedTest2,1,0,0,0,0,0,0,3,14,6,6,85,4,2,112
1663,junit4,FailOnExecution,0,0,0,0,0,0,0,6,16,12,11,221,19,3,237
1664,junit4,MethodExampleTest,0,0,0,0,0,0,0,13,31,15,16,496,27,2,310
1665,junit4,FailOnTimeoutTest,7,3,5,3,0,0,1,205,320,13,73,3527,373,3,4166
1666,junit4,JUnit4TestCaseFacade,0,0,0,0,0,0,0,15,30,7,15,267,23,2,432
1667,junit4,RunNotifier,0,5,1,2,0,0,0,136,315,16,61,4524,378,3,4779
1668,junit4,AllMembersSupplierTest,10,0,0,1,2,0,0,95,396,10,72,4044,336,2,4501
1669,junit4,InitializationErrorForwardCompatibilityTest,5,0,0,0,0,0,1,60,183,9,57,1710,140,2,1777
1670,junit4,SafeNotifier,0,0,1,1,0,0,0,36,63,13,21,744,88,2,662
1671,junit4,TestMethodWithStaticMethodRule,0,0,0,0,0,0,0,3,10,7,6,76,5,2,151
1672,junit4,OneFast,0,0,0,0,0,0,0,0,8,6,5,56,1,2,72
1673,junit4,TestWatcher,0,1,6,0,0,0,0,100,220,16,35,3412,229,3,2931
1674,junit4,HasSpecificDatapointsParameters,0,0,0,0,0,0,0,12,70,8,18,640,25,2,761
1675,junit4,PotentialAssignmentTest,4,0,0,0,0,0,0,55,105,13,20,1030,145,2,1279
1676,junit4,AnnotationValidatorMethodTest,0,0,0,0,0,0,0,0,6,4,4,43,1,2,102
1677,junit4,TwoConstructors,0,0,0,0,0,0,0,0,4,4,2,45,2,2,88
1678,junit4,SuiteMethodBuilder,0,1,1,0,0,0,0,24,27,9,14,287,31,3,317
1679,junit4,SpecificDataPointsSupplier,0,4,0,4,0,0,0,115,214,12,35,2354,311,3,2149
1680,junit4,UseParameterizedFactoryAbstractTest,0,0,0,0,0,0,0,3,17,6,10,120,5,2,238
1681,junit4,ATest,1,0,0,0,0,0,0,3,7,6,5,51,5,2,62
1682,junit4,DoesntUseParams,1,0,0,0,1,0,0,3,20,7,11,153,8,2,155
1683,junit4,ShouldRejectTheoriesWithOnlyDisallowedNullData,0,0,0,0,0,0,0,0,17,5,10,120,1,2,198
1684,junit4,DifferentTypesInConstructor,0,0,0,0,0,0,0,0,21,5,11,187,2,2,223
1685,junit4,TypeVariableOnWildcardLowerBoundOnTheoryParm,0,0,0,0,0,0,0,0,22,7,14,173,1,2,212
1686,junit4,SerializedForm,0,0,0,0,0,0,0,61,157,10,38,1440,158,3,1426
1687,junit4,CreatesRandomFiles,2,0,0,1,1,0,0,17,45,10,18,396,45,2,317
1688,junit4,DummyTest,0,0,0,0,0,0,0,0,4,4,3,33,1,2,53
1689,junit4,MultiIncludeWithExcludeCategorySuite,0,0,0,0,0,0,0,0,20,6,10,94,0,2,211
1690,junit4,HasIgnoredFailingSingleDataPointMethod,0,0,0,0,0,0,0,3,21,7,12,179,6,2,251
1691,junit4,BeforeAndAfterOnSameInstance,1,0,0,0,0,0,1,6,27,7,13,204,11,2,239
1692,junit4,DummyClass,0,0,0,0,0,0,0,0,1,2,1,6,0,2,30
1693,junit4,HasFailingAssumptionWithMessage,1,0,0,0,0,0,0,7,13,7,7,92,12,2,119
1694,junit4,MethodUsesCustomMethodRule,1,0,0,0,0,0,0,6,19,7,9,143,11,2,202
1695,junit4,WrongTypedField,0,0,0,0,0,0,0,0,8,4,5,62,1,2,74
1696,junit4,RuleMemberValidator,0,9,0,2,0,0,0,151,569,12,70,7133,356,3,7310
1697,junit4,MethodMultipleRuleTest,0,0,0,0,0,0,0,16,41,12,19,474,29,2,475
1698,junit4,WithUnresolvedGenericTypeVariablesOnTheoryParms,16,0,0,0,16,0,0,90,391,12,61,4063,277,2,4140
1699,junit4,FastOrSmokeTestSuite,0,0,0,0,0,0,0,0,23,6,10,107,0,2,166
1700,junit4,FailureTest,1,0,0,0,0,0,0,3,12,8,8,89,9,2,93
1701,junit4,ThrowExceptionWithMatchingCause,0,0,0,0,0,0,0,16,34,8,14,259,35,2,385
1702,junit4,HasUnfilteredTest,0,0,0,0,0,0,0,0,4,4,3,33,1,2,69
1703,junit4,OneTimeSetup,0,0,0,0,0,0,0,3,12,6,7,109,6,2,119
1704,junit4,Stopwatch,0,2,0,0,0,0,0,73,178,9,34,3519,148,3,3523
1705,junit4,OldTestClassAdaptingListenerTest,1,0,0,0,0,0,0,25,45,9,21,409,66,2,467
1706,junit4,TimeOutZero,0,0,1,0,0,0,0,6,18,8,11,158,14,2,151
1707,junit4,FibonacciTest,1,0,0,0,0,0,0,16,62,9,19,594,53,2,427
1708,junit4,CantInitialize,0,0,0,0,0,0,0,6,24,7,14,221,12,3,317
1709,junit4,RunnerBuilder,0,2,2,1,0,0,0,61,124,11,32,1823,122,3,2323
1710,junit4,HasNullTimeUnit,0,0,0,0,0,0,0,0,12,6,7,91,1,2,121
1711,junit4,SubWrong,0,0,0,0,0,0,0,0,5,4,4,40,1,3,71
1712,junit4,InheritanceAllAny,0,0,0,0,0,0,0,0,33,7,13,170,0,2,230
1713,junit4,SubclassWithField,0,0,0,0,0,0,0,0,6,4,5,40,0,3,83
1714,junit4,NoRulesTest,0,0,0,0,0,0,0,0,5,4,4,50,1,2,67
1715,junit4,BlockJUnit4ClassRunnerWithParameters,0,7,1,3,0,0,0,150,324,17,65,3846,385,4,3318
1716,junit4,DataPointArrays,0,0,0,0,0,0,0,3,25,7,10,201,5,2,196
1717,junit4,AnnotationsValidator,0,1,0,3,0,0,0,86,218,12,50,2690,198,3,3044
1718,junit4,TestWithStaticTestRule,0,0,0,0,0,0,0,0,7,6,5,52,0,2,103
1719,junit4,TestWithParameters,0,4,0,0,0,0,0,79,152,10,26,1375,159,3,1393
1720,junit4,MethodRule,0,0,0,0,0,0,0,0,29,5,18,1460,0,3,1410
1721,junit4,CommandLineParserError,0,0,0,0,0,0,0,3,8,5,5,94,3,4,217
1722,junit4,HasDataPointMethod,0,0,0,0,0,0,0,3,13,5,8,107,4,2,144
1723,junit4,TestWithMethodRule,0,0,0,0,0,0,0,3,16,9,11,210,3,2,175
1724,junit4,WellBehavedParameterizedTest,1,0,0,0,0,0,0,6,27,9,15,236,19,2,287
1725,junit4,MyListener,0,0,0,0,0,0,0,3,15,7,7,110,9,3,152
1726,junit4,MethodExampleTestWithClassRule,2,0,0,0,0,0,0,9,28,7,10,223,19,2,264
1727,junit4,ExpectedTest,0,0,0,0,0,0,0,3,10,7,4,85,5,2,119
1728,junit4,JUnit4TestAdapterCache,0,4,0,2,0,0,0,85,154,14,50,1955,202,4,1506
1729,junit4,OrderTestRule,0,0,0,0,0,0,0,13,31,11,14,355,31,2,292
1730,junit4,ClassLevelMethodsWithIgnoredTestsTest,11,2,0,0,0,0,0,81,224,11,63,2277,184,3,3195
1731,junit4,ReguessableDecorator,0,0,0,0,0,0,0,12,38,7,16,296,22,3,486
1732,junit4,PostJava5DebugArgumentsTest,0,0,0,0,0,0,0,3,4,5,3,33,3,3,150
1733,junit4,RuleChain,0,0,0,1,0,0,0,33,82,9,22,1682,65,3,1856
1734,junit4,Ancestor,0,0,0,0,0,0,0,0,5,5,3,27,0,2,61
1735,junit4,IgnoredTestCategoriesSuite,0,0,0,0,0,0,0,0,16,6,8,75,0,2,150
1736,junit4,MultiA,0,0,0,0,0,0,0,0,1,2,1,3,0,2,23
1737,junit4,JUnitMatchers,0,0,0,0,0,0,0,30,163,7,31,2083,62,3,3095
1738,junit4,MultiB,0,0,0,0,0,0,0,0,1,2,1,3,0,2,23
1739,junit4,MalformedJUnit38Test,0,0,0,0,0,0,0,0,6,4,3,51,2,2,124
1740,junit4,MultiC,0,0,0,0,0,0,0,0,1,2,1,3,0,2,23
1741,junit4,HasGlobalTimeUnitTimeout,0,0,0,0,0,0,0,0,12,6,8,81,0,3,145
1742,junit4,Confused,0,0,0,0,0,0,0,0,9,5,5,79,2,2,74
1743,junit4,AnnotatedTest,1,0,0,0,0,0,0,3,7,6,5,51,5,2,68
1744,junit4,ErrorCollector,1,0,1,0,2,0,0,32,73,12,28,1254,65,4,1726
1745,junit4,InfiniteLoopMultithreaded,0,2,1,2,0,0,0,54,64,9,18,701,92,2,576
1746,junit4,BeforeClassWithFilteredTest,2,0,0,0,0,0,0,6,18,6,10,138,10,2,205
1747,junit4,UsesErrorCollectorCheckThat,0,0,0,0,0,0,0,13,40,7,8,282,35,2,264
1748,junit4,AnotherDummyClass,0,0,0,0,0,0,0,0,1,2,1,6,0,2,37
1749,junit4,MethodTestWithStaticClassAndTestRule,0,0,0,0,0,0,0,3,9,7,6,72,5,2,139
1750,junit4,FaultyConstructor,0,0,0,0,0,0,0,3,9,7,4,79,7,2,151
1751,junit4,UsesCustomMethodRule,1,0,0,0,0,0,0,3,16,7,8,112,8,2,147
1752,junit4,NewTestSuiteNotUsed,0,0,0,0,0,0,0,9,26,8,11,217,18,2,255
1753,junit4,WithExtendedParameterSources,11,0,0,0,11,0,0,85,336,9,51,3116,217,2,3166
1754,junit4,DummySortJvm,0,0,0,0,0,0,0,6,21,5,16,210,10,2,194
1755,junit4,NonStaticInnerClass,0,0,0,0,0,0,0,0,1,2,1,3,0,2,32
1756,junit4,BeforeAndAfterEachTime,1,0,0,0,0,0,0,9,40,6,18,344,16,2,367
1757,junit4,ValueAnnotatedClass,0,0,0,0,0,0,0,0,7,4,4,43,1,2,84
1758,junit4,CustomCounter,0,0,0,0,0,0,0,10,21,11,11,265,22,2,225
1759,junit4,TestWithNonStaticTestRule,0,0,0,0,0,0,0,0,7,6,5,46,0,2,100
1760,junit4,WillTimeOut,0,0,1,1,0,0,0,13,20,10,11,225,21,2,207
1761,junit4,TestClassValidator,0,0,0,0,0,0,0,0,8,5,6,114,0,3,282
1762,junit4,RunnerSpy,0,0,0,0,0,0,0,19,44,6,18,393,24,3,594
1763,junit4,TestComparator,0,3,0,0,0,0,0,35,53,8,14,438,60,2,403
1764,junit4,AnnotationValidatorClassTest,0,0,0,0,0,0,0,0,6,4,4,40,1,2,101
1765,junit4,CompatibilityTest,0,0,0,0,0,0,0,3,16,8,8,128,9,2,162
1766,junit4,DeclaringClassMustBePublic,0,1,0,0,0,0,0,10,34,10,18,363,27,3,477
1767,junit4,GuesserQueue,0,1,0,1,0,0,0,40,89,11,29,869,72,4,1093
1768,junit4,WatchmanTest,1,0,0,0,0,0,0,9,46,13,20,550,26,2,388
1769,junit4,MaxStarterTest,28,1,0,0,7,0,0,300,725,13,122,6940,909,2,6148
1770,junit4,MethodRulesTest,20,0,0,0,7,0,0,209,584,16,100,7319,475,2,6472
1771,junit4,SystemExitTest,1,0,0,1,0,0,0,25,87,11,34,784,99,2,634
1772,junit4,SampleTestWithValidator,0,0,0,0,0,0,0,0,6,6,4,31,0,2,78
1773,junit4,AssumptionFailureInConstructor,1,0,0,0,0,0,0,6,10,6,5,77,9,2,143
1774,junit4,HasFailingDataPointsArrayMethod,0,0,0,0,0,0,0,3,11,7,6,105,7,2,184
1775,junit4,ExpectsSubstringNullMessage,0,0,0,0,0,0,0,7,16,7,9,113,10,2,182
1776,junit4,JUnitCoreTest,2,0,0,0,2,0,0,13,38,9,17,307,46,2,311
1777,junit4,FilterNotCreatedException,0,0,0,0,0,0,0,3,10,6,5,89,6,4,208
1778,junit4,MethodSubclassOfTestWithClassRule,0,0,0,0,0,0,0,0,2,3,2,12,0,3,89
1779,junit4,JUnit4Test,0,0,0,0,0,0,0,3,11,6,6,71,5,2,80
1780,junit4,ExpectedExceptionMatcherBuilder,0,1,0,0,0,0,0,26,73,10,21,720,63,3,739
1781,junit4,NewExample,0,0,0,0,0,0,0,0,4,4,3,33,1,2,53
1782,junit4,MethodsAnnotated,0,0,0,0,0,0,0,9,20,5,7,144,9,2,166
1783,junit4,TestAndTeardownFailureTest,0,0,0,0,0,0,0,6,14,7,7,119,12,2,163
1784,junit4,TestClassRunnerIsSortable,4,0,0,0,0,0,0,70,164,10,27,1530,162,2,1186
1785,junit4,ErrorReportingRunner,0,4,0,2,0,0,0,76,148,15,38,1374,159,3,1364
1786,junit4,InheritanceAnyAll,0,0,0,0,0,0,0,0,33,7,13,170,0,2,230
1787,junit4,VerifierRuleTest,16,0,0,0,13,0,0,119,307,14,42,3165,330,2,3062
1788,junit4,StacktracePrintingMatcherTest,4,0,1,0,2,0,0,22,62,11,24,583,74,2,639
1789,junit4,SubExampleTest,0,0,0,0,0,0,0,0,2,3,2,12,0,3,51
1790,junit4,HasDataPointsWithObjectParameter,0,0,0,0,0,0,0,0,13,5,7,106,1,2,136
1791,junit4,TestListenerTest,4,0,0,0,0,0,0,58,121,9,36,1088,136,2,1022
1792,junit4,IncorrectTest,0,0,0,0,0,0,0,6,21,9,11,186,15,2,190
1793,junit4,MatcherTest,1,0,0,0,1,0,0,13,82,8,31,598,36,2,720
1794,junit4,FailedAssumptionAndExpectException,0,0,0,0,0,0,0,7,18,8,10,126,12,2,190
1795,junit4,Listener,0,0,0,0,0,0,0,19,69,8,30,556,42,3,666
1796,junit4,ResultWithFixedRunTime,0,0,0,0,0,0,0,18,42,7,11,389,30,4,572
1797,junit4,SimpleTestWithFutureProofExplicitRunner,0,0,0,0,0,0,0,3,11,6,6,68,5,2,115
1798,junit4,AssumingInTheoriesTest,1,0,0,0,0,0,0,13,42,9,21,373,31,2,576
1799,junit4,JUnit3Builder,0,1,0,0,0,0,0,14,28,10,14,256,25,3,297
1800,junit4,RunAllAfterClassesRegardless,0,0,0,0,0,0,0,14,20,7,8,178,19,2,193
1801,junit4,Increment,0,0,0,0,0,0,0,10,19,11,11,243,22,2,208
1802,junit4,TestedOnSupplier,0,0,0,1,0,0,0,20,57,9,22,517,53,4,471
1803,junit4,InnerClassWithoutOwnRunWith,0,0,0,0,0,0,0,0,8,5,4,71,2,2,113
1804,junit4,DataPointFieldsMustBePublic,0,0,0,0,0,0,0,0,39,6,14,379,1,2,334
1805,junit4,OuterClass,0,0,0,0,0,0,0,0,2,3,2,15,0,2,61
1806,junit4,CategoryValidator,0,1,0,2,0,0,0,32,84,12,35,1152,79,4,1225
1807,junit4,ExactComparisonCriteria,1,0,0,0,0,0,0,3,14,6,9,105,7,3,170
1808,junit4,MethodParameterValue,0,0,1,0,0,0,0,28,63,13,26,704,77,3,828
1809,junit4,InfiniteLoop,0,0,0,0,0,0,0,0,9,5,4,39,0,2,85
1810,junit4,PrintableResult,0,0,0,0,0,0,0,25,66,9,26,717,65,3,995
1811,junit4,ComparisonCriteria,3,5,2,1,0,0,0,86,162,14,28,1887,199,3,1948
1812,junit4,SimpleTest,5,0,0,0,0,0,0,36,65,8,17,562,69,3,481
1813,junit4,TestClassUsingSupplierWithTestClassConstructor,0,0,0,0,0,0,0,0,14,7,9,93,1,2,188
1814,junit4,JustA,0,0,0,0,0,0,0,0,14,6,7,62,0,2,107
1815,junit4,RunBefores,0,0,0,1,0,0,0,21,46,8,13,403,36,3,392
1816,junit4,PositiveIntsWithNegativeField,1,0,0,0,0,0,0,10,35,7,11,285,20,2,283
1817,junit4,BadRunner,0,0,0,0,0,0,0,3,12,5,8,97,4,3,141
1818,junit4,BeforeAndAfter,0,0,0,0,0,0,0,9,35,9,17,337,26,2,308
1819,junit4,SubTest,0,0,0,0,0,0,0,3,10,6,6,68,5,3,84
1820,junit4,Token,0,0,0,0,0,0,0,0,1,2,1,6,0,2,24
1821,junit4,HasFailingAssumption,1,0,0,0,0,0,0,7,12,7,6,84,11,2,100
1822,junit4,TestWithStaticClassAndTestRule,0,0,0,0,0,0,0,0,9,6,6,62,0,2,121
1823,junit4,URLClassLoader2,0,0,0,0,0,0,0,6,16,6,10,120,8,3,186
1824,junit4,CountingListener,0,0,0,0,0,0,0,3,16,6,10,126,5,3,207
1825,junit4,TestSuite,1,10,4,5,0,0,0,274,498,15,87,6414,593,3,5989
1826,junit4,MethodNoRulesTest,0,0,0,0,0,0,0,0,5,4,4,50,1,2,73
1827,junit4,Example,1,0,0,0,0,0,0,3,16,6,8,103,5,2,150
1828,junit4,HasDateMethod,0,0,0,0,0,0,0,6,27,7,15,254,11,2,266
1829,junit4,TestWithNonStaticClassRule,0,0,0,0,0,0,0,0,7,6,5,46,0,2,106
1830,junit4,Sorter,0,1,0,0,0,0,0,20,64,10,19,800,38,3,930
1831,junit4,Exit,0,0,0,0,0,0,0,3,8,6,7,83,6,2,82
1832,junit4,HasTempFolder,1,0,0,0,0,0,0,7,26,8,11,183,18,2,223
1833,junit4,ParentRunnerFilteringTest,10,2,2,0,1,0,0,163,356,14,79,3571,420,2,3498
1834,junit4,AnnotationValidator,0,0,0,0,0,0,0,9,28,5,15,416,9,3,1046
1835,junit4,NoneThrown,0,0,0,0,0,0,0,0,7,7,5,57,1,2,81
1836,junit4,ParameterizedNamesTest,1,0,0,2,0,0,0,18,85,12,29,962,94,3,825
1837,junit4,ParentRunnerTest,20,0,0,0,3,0,0,203,506,12,109,5185,534,2,5435
1838,junit4,NoExceptionTest,0,0,0,0,0,0,0,0,8,7,5,67,1,2,101
1839,junit4,BeforeAndAfterTest,3,0,0,0,0,0,0,9,37,7,14,279,24,2,328
1840,junit4,AllDefaultPossibilitiesBuilder,0,2,0,1,0,0,0,48,71,9,27,727,87,3,923
1841,junit4,ExpectAssertionErrorWhichIsNotThrown,0,0,0,0,0,0,0,3,15,8,9,107,8,2,157
1842,junit4,FieldComparator,0,0,0,0,0,0,0,3,16,7,8,137,10,3,183
1843,junit4,UsesErrorCollectorTwice,0,0,0,0,0,0,0,7,22,8,8,165,17,2,236
1844,junit4,SlowTestSuite,0,0,0,0,0,0,0,0,18,6,9,89,0,2,131
1845,junit4,CategoriesAndParameterizedTest,7,0,0,0,3,0,0,30,188,10,34,1683,98,2,2385
1846,junit4,SuperclassWithField,0,0,0,0,0,0,0,0,5,4,4,33,0,2,59
1847,junit4,AssumptionTest,25,0,2,0,12,0,0,218,483,12,91,4942,543,2,4773
1848,junit4,TimeoutTest,35,2,4,6,7,0,0,358,807,11,116,7764,895,2,7127
1849,junit4,ClassWithInvalidMethod,0,0,0,0,0,0,0,0,6,4,4,44,1,3,109
1850,junit4,TestRuleTest,44,0,0,0,15,0,0,434,1237,16,160,15178,1001,2,12128
1851,junit4,HasPassingAssumption,1,0,0,0,0,0,0,7,12,7,6,84,11,2,100
1852,junit4,TypeVariableOnTheoryOnly,0,0,0,0,0,0,0,0,21,6,14,162,1,2,186
1853,junit4,AbstractConcurrentFailuresTest,2,2,0,3,1,0,0,96,145,14,45,1666,218,2,1315
1854,junit4,AllJUnit4,0,0,0,0,0,0,0,10,23,9,11,181,21,2,189
1855,junit4,SameAsNoIncludeCategoryAnnotationSuite,0,0,0,0,0,0,0,0,23,5,10,97,0,2,229
1856,junit4,HasDataPointMethodWithOverlyGeneralTypes,0,0,0,0,0,0,0,3,11,5,8,96,4,2,144
1857,junit4,MethodWatchmanTest,1,0,0,0,0,0,0,12,52,13,22,596,29,2,467
1858,junit4,OneFieldTwoKindsOfRule,1,0,0,0,0,0,0,3,16,7,8,112,8,2,154
1859,junit4,CategoryFilterFactoryTest,1,0,0,0,1,0,0,29,97,10,37,876,77,2,1140
1860,junit4,NamedListener,0,2,0,0,0,0,0,30,49,9,12,421,49,3,414
1861,junit4,ExceptionInBeforeTest,0,0,0,0,0,0,0,3,9,7,6,79,6,2,108
1862,junit4,ErrorTest,0,0,0,0,0,0,0,3,6,5,5,50,3,2,82
1863,junit4,Result,0,0,0,0,0,0,0,146,368,11,79,4059,340,3,4192
1864,junit4,EmptyTest,0,0,0,0,0,0,0,6,17,6,8,129,10,2,160
1865,junit4,OneTimeTeardown,0,0,0,0,0,0,0,3,12,6,7,109,6,2,121
1866,junit4,TestNames,2,0,0,0,0,0,0,6,25,7,9,179,16,2,200
1867,junit4,NewTestSuiteFails,1,0,0,0,0,0,0,10,17,6,8,125,12,2,156
1868,junit4,ClassRulesTest,21,0,0,0,1,0,0,162,429,13,63,4333,386,3,4308
1869,junit4,ParameterizedTestWithClassCategory,1,0,0,0,0,0,0,6,31,9,17,256,19,2,321
1870,junit4,TimeoutFailureTest,0,0,0,0,0,0,0,3,11,6,7,81,6,2,122
1871,junit4,UseSuiteAsASuperclassTest,3,0,0,0,0,0,0,19,56,10,23,547,54,2,528
1872,junit4,UsesFieldAndMethodRule,2,0,0,0,0,0,0,10,32,7,10,228,23,2,295
1873,junit4,DummySuite,0,0,0,0,0,0,0,0,9,5,5,39,0,2,80
1874,junit4,ExampleTestWithCustomClassRule,2,0,0,0,0,0,0,6,25,7,9,185,16,2,228
1875,junit4,MultipleRuleTest,0,0,0,0,0,0,0,10,35,12,17,407,23,2,363
1876,junit4,DataPointArrayToBeUsedForWholeParameter,0,0,0,0,0,0,0,3,27,7,10,224,7,2,226
1877,junit4,AllMembersSupplier,0,9,3,9,0,0,0,241,484,16,89,5795,590,4,4995
1878,junit4,TestRule,0,0,0,0,0,0,0,0,68,5,22,3284,0,3,2039
1879,junit4,TeardownFailureTest,0,0,0,0,0,0,0,3,9,7,6,79,6,2,102
1880,junit4,ValidatorThatThrowsException,0,0,0,0,0,0,0,3,7,7,3,58,6,3,199
1881,junit4,WithOnlyTestAnnotations,5,0,1,1,4,0,0,37,131,11,45,1208,108,2,1325
