Nº,Project,TestClassName,Assrtions,Conditions,TryCatch,Loop,Hamcrest,Mockito,BadApi,LOC,Expressions,Depth,Vocabulary,Understandability,BodySize,Dexterity,NonWhiteCharacters
5834,fastjson,ArrayListFieldTest,2,0,0,0,0,0,0,34,77,9,27,735,90,3,639
5835,fastjson,JSONCreatorTest_default_short,2,0,0,0,0,0,0,17,55,9,16,493,42,3,443
5836,fastjson,SerializeConfigTest2_private,2,0,0,0,0,0,0,19,42,8,17,357,49,3,475
5837,fastjson,LocaleFieldTest,2,0,0,0,0,0,0,50,108,9,25,972,136,3,839
5838,fastjson,MultiFieldIntTest_writer2,8,0,0,2,0,0,0,86,233,11,36,2360,283,3,1058
5839,fastjson,JSONReaderScannerTest_matchField,4,0,0,0,0,0,0,34,83,9,25,799,82,3,697
5840,fastjson,Respone,0,0,0,0,0,0,0,0,8,4,6,75,0,2,74
5841,fastjson,Bug_for_issue_569,2,0,0,0,0,0,0,43,156,10,28,1496,152,3,1281
5842,fastjson,WriteAsArray_Eishay_Image,5,0,0,0,0,0,0,37,93,9,31,734,110,3,619
5843,fastjson,BeforeFilterTest,2,0,0,0,0,0,0,24,60,12,17,756,84,3,585
5844,fastjson,getfTest_2,2,0,0,0,0,0,0,25,49,9,17,463,59,3,392
5845,fastjson,JSONPath_field_access_filter_compare_string_simple,20,0,0,0,0,0,0,255,640,9,34,5959,865,3,3915
5846,fastjson,Post,0,0,0,0,0,0,0,3,10,7,2,94,8,2,79
5847,fastjson,LongValueTest,6,0,0,6,0,0,0,138,305,11,26,3189,412,3,1490
5848,fastjson,LocalTimeTest3,4,0,0,0,0,0,0,16,51,9,16,401,53,3,383
5849,fastjson,ValueFilterTest_field_int,1,1,0,0,0,0,0,24,42,13,21,571,62,3,392
5850,fastjson,LocalTimeTest2,3,0,0,0,0,0,0,13,42,9,15,336,43,3,318
5851,fastjson,Param,0,0,0,0,0,0,0,30,79,8,20,823,50,3,615
5852,fastjson,BuilderTest1_private,2,0,0,0,0,0,0,33,67,9,21,656,56,3,566
5853,fastjson,TypeUtilsTest_loadClass,3,0,0,0,0,0,0,10,41,10,12,350,43,3,552
5854,fastjson,Address,0,0,0,0,0,0,0,9,23,7,5,202,18,2,193
5855,fastjson,Bug_for_leupom_2,2,0,0,0,0,0,0,44,96,9,29,915,97,3,729
5856,fastjson,Bug_for_leupom_3,1,0,0,0,0,0,0,25,62,9,24,575,62,3,497
5857,fastjson,DataSet,0,0,0,0,0,0,0,12,29,7,10,256,20,3,235
5858,fastjson,Image,0,0,0,0,0,0,0,0,2,3,2,12,0,3,38
5859,fastjson,ErrorAppendable,0,0,0,0,0,0,0,9,27,7,9,261,18,2,306
5860,fastjson,LocalDateTest,4,0,0,0,0,0,0,45,108,9,30,936,124,3,808
5861,fastjson,AuthIdentityRequest,0,0,0,0,0,0,0,42,83,7,23,953,70,2,979
5862,fastjson,JSONPath_issue1208,2,0,0,0,0,0,0,25,40,7,15,357,57,3,449
5863,fastjson,PropertyFilter_long,6,4,0,0,0,0,0,200,314,16,41,3893,503,3,2498
5864,fastjson,Dog,0,0,0,0,0,0,0,0,14,7,9,92,0,3,116
5865,fastjson,JodaTest_8_DateTimeTest,4,0,0,0,0,0,0,39,102,9,29,852,119,3,742
5866,fastjson,DoubleArrayFieldDeserializerTest,2,0,0,0,0,0,2,16,43,9,13,426,45,3,375
5867,fastjson,JSONPath_paths_test,4,0,0,0,0,0,0,25,61,9,17,530,80,3,390
5868,fastjson,ListStringFieldTest_array_big,4,0,0,3,0,0,0,60,183,13,29,1710,233,3,1032
5869,fastjson,Payload,0,0,0,0,0,0,0,6,15,7,6,131,10,3,149
5870,fastjson,BeanToArrayTest_date,12,0,0,0,0,0,0,85,273,10,39,2313,319,3,2051
5871,fastjson,FieldTypeResolverTest,1,1,0,0,0,0,0,24,43,15,22,556,66,3,451
5872,fastjson,ZonedDateTimeTest2,1,0,0,0,0,0,0,19,55,9,23,449,59,3,372
5873,fastjson,TestInnerClass1,1,0,0,0,0,0,0,16,31,8,15,305,34,3,288
5874,fastjson,MockClob,0,1,0,0,0,0,0,57,108,7,29,1254,75,2,1186
5875,fastjson,TestInnerClass2,2,0,1,0,0,0,0,34,56,10,20,578,73,3,442
5876,fastjson,DateTest3,1,0,0,0,0,0,0,16,35,10,16,342,36,3,368
5877,fastjson,DateTest2,1,0,0,0,0,0,0,31,68,8,23,617,73,3,633
5878,fastjson,DateTest1,2,0,0,0,0,0,0,25,55,9,20,535,75,4,470
5879,fastjson,JSONReader_top,2,0,0,0,0,0,0,20,44,9,15,379,56,3,367
5880,fastjson,ListStringFieldTest_createError,2,0,2,0,0,0,0,52,81,11,28,936,105,3,794
5881,fastjson,AnnotationTest2,2,0,0,0,0,0,0,46,107,9,27,1009,102,3,776
5882,fastjson,AnnotationTest3,1,0,0,0,0,0,0,28,57,8,20,561,54,3,460
5883,fastjson,ParserSpecialCharTest,18,0,0,0,0,0,0,60,268,10,30,2569,280,3,2365
5884,fastjson,Issue215_char_array,1,0,0,1,0,0,0,35,78,12,30,971,139,3,518
5885,fastjson,Structure,0,0,0,0,0,0,0,0,4,5,4,37,0,2,52
5886,fastjson,JSONObjectTest_getBigInteger,6,0,0,0,0,0,2,39,98,11,20,826,118,3,707
5887,fastjson,Bug_for_booleanField,2,0,0,0,0,0,0,13,39,10,16,366,35,3,408
5888,fastjson,PascalNameFilterTest_1,1,0,0,0,0,0,0,25,47,9,20,423,65,3,391
5889,fastjson,XMLGregorianCalendarTest,3,0,0,0,0,0,0,34,97,9,31,837,120,3,943
5890,fastjson,LongTest,1,0,0,0,0,0,0,22,46,8,21,414,49,3,410
5891,fastjson,ColorDeserializerTest,4,0,4,0,0,0,0,67,88,10,18,948,135,3,786
5892,fastjson,PropertyFilter_long_field,6,4,0,0,0,0,0,188,295,16,37,3660,484,3,2354
5893,fastjson,RegResponse,0,0,0,0,0,0,0,21,57,7,14,510,44,2,483
