Nº,Project,TestClassName,No. Tests,Vocabulary,Non Whithe Characters,No. Method Invoctions,AST size,Max Depth,Sum Depths,Avg Depth,Branching,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Conditions,No. Else,Bad API,Junit,Hamcrest,Mockito
9918,checkstyle,InputHeader___Interface,0,1,40,0,0,2,4,0,0,3,1,0,0,0,0,0,0,0,0,0
9919,checkstyle,InputIndentationValidMethodIndent,0,50,2540,38,329,12,1092,3.3191489361702127,3.1185410334346506,35,304,0,0,1,1,1,0,0,0,0
9920,checkstyle,AnotherCustomException,0,2,64,0,0,3,9,0,0,4,2,0,0,0,0,0,0,0,0,0
9921,checkstyle,InputIndentationTwoStatementsPerLine,0,7,155,0,9,7,63,7,4.555555555555555,13,13,0,0,0,1,0,0,0,0,0
9922,checkstyle,InputAbstractJavadocPosition,0,7,219,0,0,4,43,0,0,7,12,0,0,0,0,0,0,0,0,0
9923,checkstyle,DefaultMethodsTest,2,18,646,6,65,9,202,3.1076923076923078,1.4923076923076923,18,51,0,0,0,0,0,0,2,0,2
9924,checkstyle,InputUpperEll,0,16,1392,12,291,18,1069,3.6735395189003435,1.4570446735395188,26,281,0,0,0,0,0,0,0,0,0
9925,checkstyle,InterfaceMemberImpliedModifierCheck,0,55,10522,30,340,12,1140,3.3529411764705883,3.2205882352941178,37,343,0,0,0,8,0,0,0,0,0
9926,checkstyle,InputRegexpSemantic,0,55,1874,2,182,10,865,4.752747252747253,2.8131868131868134,38,148,4,8,0,1,0,0,0,0,0
9927,checkstyle,InputAbbreviationAsWordInNameReceiver,0,3,222,0,2,5,33,16.5,14.5,7,7,0,0,0,0,0,0,0,0,0
9928,checkstyle,InnerGood,0,8,147,0,3,4,43,14.333333333333334,11,8,8,0,0,0,0,0,0,0,0,0
9929,checkstyle,InputJava7Diamond,0,9,228,0,0,7,158,0,0,8,28,0,0,0,0,0,0,0,0,0
9930,checkstyle,InputAstRegressionNewlineCrAtEndOfFile,0,1,100,0,0,2,5,0,0,6,1,0,0,0,0,0,0,0,0,0
9931,checkstyle,InputIllegalThrows,0,11,271,0,6,6,90,15,12,13,24,0,0,0,0,0,0,0,0,0
9932,checkstyle,InputMethodReferences6,0,5,137,0,14,9,59,4.214285714285714,1.5714285714285714,11,8,0,0,0,0,0,0,0,0,0
9933,checkstyle,InputMethodReferences4,0,10,155,3,20,10,84,4.2,1.4,16,17,0,0,0,0,0,0,0,0,0
9934,checkstyle,InputMethodReferences3,0,11,317,0,54,10,204,3.7777777777777777,1.3148148148148149,15,37,0,0,0,0,0,0,0,0,0
9935,checkstyle,InputMethodReferences7,0,24,502,0,84,10,340,4.0476190476190474,2.0833333333333335,21,81,0,0,0,0,0,0,0,0,0
9936,checkstyle,TreeWalkerAuditEvent,0,22,2412,7,72,7,358,4.972222222222222,5.194444444444445,19,86,0,0,0,0,0,0,0,0,0
9937,checkstyle,InputRegressionJava8Class1,0,57,1095,6,169,10,648,3.834319526627219,2.6568047337278107,35,146,0,0,0,0,0,0,0,0,0
9938,checkstyle,NestedTryDepthCheckTest,3,26,1146,17,129,9,340,2.635658914728682,1.4108527131782946,21,108,0,0,0,0,0,0,5,0,2
9939,commons-lang,TimeZoneNumberRule,0,22,978,7,92,10,331,3.597826086956522,2.2934782608695654,28,92,0,0,0,2,1,0,0,0,0
9940,commons-lang,TimedSemaphoreTest,17,114,13925,157,1482,13,3787,2.5553306342780027,1.9298245614035088,49,1211,2,2,8,5,0,0,36,0,9
9941,commons-lang,Diff,0,29,1456,8,58,12,295,5.086206896551724,4.310344827586207,28,77,0,0,0,0,0,0,0,0,0
9942,commons-lang,StateStrategyClosed,0,13,487,3,14,7,102,7.285714285714286,6.714285714285714,15,26,0,0,0,0,0,0,0,0,0
9943,commons-lang,ReflectionToStringBuilderExcludeNullValuesTest,5,30,4975,105,628,8,1412,2.248407643312102,2.3025477707006368,23,575,0,0,0,0,0,0,42,0,0
9944,commons-lang,Thing,0,4,36,0,0,4,18,0,0,6,4,0,0,0,0,0,0,0,0,0
9945,commons-lang,Memoizer,0,34,3341,9,175,16,682,3.8971428571428572,1.737142857142857,37,147,1,2,1,5,2,0,0,0,0
9946,commons-lang,AnnotationUtils,0,101,8471,100,948,18,2846,3.00210970464135,1.340717299578059,55,729,3,5,5,36,0,0,0,0,0
9947,commons-lang,UnpaddedMonthField,0,16,659,4,40,11,231,5.775,4.575,26,52,0,0,0,1,1,0,0,0,0
9948,commons-lang,DiffTest,4,27,857,10,57,8,311,5.456140350877193,3.7719298245614037,26,84,0,0,0,0,0,0,3,0,0
9949,commons-lang,ISO8601TimeZoneStrategy,0,22,1146,3,35,8,224,6.4,5.4,23,54,0,0,0,0,0,0,0,0,0
9950,commons-lang,JavaVersionTest,3,30,1253,43,174,7,360,2.0689655172413794,1.7298850574712643,14,169,0,0,0,0,0,0,21,0,0
9951,commons-lang,IEEE754rUtilsTest,3,26,2318,46,427,10,918,2.149882903981265,1.4004683840749415,28,303,8,8,0,0,0,0,22,0,0
9952,commons-lang,TestTransientSubObject,0,5,163,0,9,7,62,6.888888888888889,4,17,15,0,0,0,0,0,0,0,0,0
9953,commons-lang,StrLookup,0,26,3639,4,74,11,497,6.716216216216216,5.121621621621622,33,108,1,1,0,3,0,0,0,0,0
9954,commons-lang,EventBindingInvocationHandler,0,27,1433,10,73,10,328,4.493150684931507,2.9452054794520546,27,95,0,0,0,2,0,0,0,0,0
9955,commons-lang,TestClass,0,1,23,0,0,2,4,0,0,3,1,0,0,0,0,0,0,0,0,0
9956,commons-lang,GClass,0,4,78,0,0,7,50,0,0,7,7,0,0,0,0,0,0,0,0,0
9957,commons-lang,MultipleEventListener,0,5,104,0,0,5,33,0,0,7,7,0,0,0,0,0,0,0,0,0
9958,commons-lang,TestTTLeafObject,0,7,210,0,11,7,74,6.7272727272727275,4.909090909090909,17,19,0,0,0,0,0,0,0,0,0
9959,commons-lang,TestACanEqualB,0,10,384,2,61,12,257,4.213114754098361,1.639344262295082,23,53,0,0,0,3,0,0,0,0,0
9960,commons-lang,EventCountCircuitBreaker,0,71,16424,43,380,10,1611,4.239473684210527,4.363157894736842,36,441,0,0,0,2,1,0,0,0,0
9961,commons-lang,ThresholdCircuitBreakerTest,5,19,1731,16,120,8,351,2.925,1.9416666666666667,19,101,0,0,0,0,0,0,5,0,0
9962,commons-lang,TypeUtils,0,227,42710,362,4149,16,13006,3.1347312605447097,1.8891299108218849,58,3326,0,0,29,134,14,0,0,0,0
9963,commons-lang,UnpaddedNumberField,0,17,723,5,50,11,239,4.78,3.94,24,58,0,0,0,2,2,0,0,0,0
9964,commons-lang,JsonToStringStyle,0,51,6445,47,510,9,1858,3.6431372549019607,2.7941176470588234,34,502,0,0,0,25,0,0,0,0,0
9965,commons-lang,ValidateTest,67,138,24872,495,3972,11,9836,2.476334340382679,1.6578549848942599,36,2681,86,86,0,0,0,0,199,0,0
9966,commons-lang,CustomCharSequence,0,17,674,6,70,10,304,4.3428571428571425,2.8857142857142857,28,78,0,0,0,1,0,0,0,0,0
9967,commons-lang,AbstractExceptionTest,0,8,421,0,6,7,90,15,14.5,14,19,0,0,0,0,0,0,0,0,0
9968,commons-lang,ReflectionToStringBuilderExcludeTest,11,40,3200,36,339,10,1087,3.206489675516224,2.0412979351032448,29,281,0,0,0,0,0,0,4,0,0
9969,commons-lang,StopWatchTest,10,66,5969,140,956,11,2154,2.2531380753138075,1.3023012552301256,26,613,25,25,0,0,0,1,49,0,0
9970,commons-lang,NoFieldNamesToStringStyleTest,8,51,4380,121,773,12,2113,2.7335058214747736,1.1914618369987064,31,683,0,0,0,0,0,0,34,0,0
9971,commons-lang,FastDateFormat_PrinterTest,0,12,282,1,8,6,63,7.875,7.125,13,18,0,0,0,0,0,0,0,0,0
9972,commons-lang,NoClassNameToStringStyle,0,8,642,2,15,6,69,4.6,4.6,19,16,0,0,0,0,0,0,0,0,0
9973,commons-lang,InheritanceUtilsTest,9,23,1295,24,157,9,548,3.4904458598726116,1.7070063694267517,17,146,0,0,0,0,0,0,12,0,0
9974,commons-lang,ImmutablePair,0,17,2032,1,36,8,325,9.027777777777779,10.555555555555555,29,90,0,0,0,0,0,0,0,0,0
9975,commons-lang,MultipartKey,0,10,592,2,60,14,279,4.65,2.0833333333333335,30,55,0,0,1,2,0,0,0,0,0
9976,commons-lang,EnumUtils,0,71,10721,57,537,15,2056,3.828677839851024,2.4320297951582868,42,596,1,1,7,4,0,0,0,0,0
9977,commons-lang,StateStrategy,0,11,1379,2,11,8,118,10.727272727272727,10.545454545454545,14,33,0,0,0,0,0,0,0,0,0
9978,commons-lang,SubClass,0,2,44,0,0,3,9,0,0,4,2,0,0,0,0,0,0,0,0,0
9979,commons-lang,RegExUtilsTest,10,32,9841,296,1412,9,2722,1.9277620396600565,1.746458923512748,20,1276,4,4,0,0,0,0,124,0,0
9980,commons-lang,NotVisibleException,0,7,238,0,10,7,86,8.6,6.6,17,19,0,0,0,0,0,0,0,0,0
9981,commons-lang,MutableLong,0,44,6862,13,251,12,1056,4.207171314741036,5.095617529880478,32,271,0,0,0,1,0,0,0,0,0
9982,commons-lang,NoClassNameToStringStyleTest,8,39,3932,113,685,12,1932,2.8204379562043798,1.218978102189781,31,574,0,0,0,0,0,0,34,0,0
9983,commons-lang,TimedSemaphoreTestImpl,0,22,1265,1,46,8,264,5.739130434782608,5.282608695652174,29,64,0,0,0,1,0,0,0,0,0
9984,commons-lang,TestCallable,0,8,337,0,6,6,57,9.5,7.833333333333333,17,12,0,0,0,0,0,0,0,0,0
9985,commons-lang,EnumUtilsTest,40,102,19212,462,3142,10,7558,2.405474220241884,1.8163590070019096,29,2868,0,0,0,0,0,0,165,0,0
9986,commons-lang,EqualsBuilder,0,95,25466,116,1748,19,5275,3.017734553775744,2.1613272311212817,48,1461,3,2,11,75,15,0,0,0,0
9987,commons-lang,ConversionTest,42,115,69286,1102,13164,13,23136,1.7575205104831357,4.999620176238225,41,10527,14,14,2,1,1,0,442,0,0
9988,commons-lang,Conversion,0,102,40201,77,3580,15,10677,2.9824022346368717,2.712290502793296,42,3094,0,0,28,91,4,0,0,0,0
9989,commons-lang,And,0,5,51,0,0,4,24,0,0,6,6,0,0,0,0,0,0,0,0,0
9990,commons-lang,WordUtilsTest,16,54,15620,434,2334,10,4356,1.8663239074550129,3.2514995715509856,34,2011,0,0,0,0,0,0,212,0,0
9991,commons-lang,EntityArrays,0,19,8420,15,110,10,1729,15.718181818181819,154.66363636363636,32,919,0,0,1,0,0,0,0,0,0
9992,commons-lang,RandomStringUtils,0,45,12538,35,475,13,1532,3.225263157894737,3.248421052631579,42,494,0,0,1,14,6,0,0,0,0
9993,commons-lang,That,0,4,41,0,0,4,24,0,0,6,6,0,0,0,0,0,0,0,0,0
9994,commons-lang,RangeTest,24,100,9265,335,1556,13,3577,2.2988431876606685,1.8239074550128536,37,1368,1,1,0,0,0,8,137,0,0
9995,commons-lang,ReflectionToStringBuilderSummaryTest,1,14,337,2,15,9,91,6.066666666666666,3.066666666666667,17,27,0,0,0,0,0,0,1,0,0
9996,commons-lang,ExceptionWithoutCause,0,5,300,0,1,4,33,33,43,15,8,0,0,0,0,0,0,0,0,0
9997,commons-lang,RunTest,0,16,396,8,72,15,255,3.5416666666666665,1.1666666666666667,20,58,1,1,0,2,1,0,3,0,0
9998,commons-lang,MultiLineToStringStyleTest,8,52,6415,198,1085,12,2544,2.3447004608294932,1.4294930875576037,31,995,0,0,0,0,0,0,34,0,0
9999,commons-lang,ClassWithSuperClassWithGenericType,0,7,187,0,3,5,53,17.666666666666668,14.333333333333334,14,10,0,0,0,0,0,0,0,0,0
10000,commons-lang,AtomicSafeInitializerTest,1,30,1309,4,33,8,220,6.666666666666667,4.757575757575758,23,69,0,0,0,0,0,0,1,0,0
10001,commons-lang,CheckIntervalData,0,9,1144,2,32,9,158,4.9375,4.0625,23,36,0,0,0,0,0,0,0,0,0
10002,commons-lang,Validate,0,97,42027,94,963,12,4453,4.624091381100727,6.246105919003115,40,1597,0,0,2,42,0,0,0,0,0
10003,commons-lang,WildcardTypeBuilder,0,12,681,0,26,7,168,6.461538461538462,5,22,39,0,0,0,0,0,0,0,0,0
10004,commons-lang,DateIterator,0,19,973,5,58,9,238,4.103448275862069,2.6551724137931036,30,71,0,0,0,1,0,0,0,0,0
10005,commons-lang,FastTimeZoneTest,10,22,2485,75,271,8,761,2.8081180811808117,1.900369003690037,18,289,0,0,0,0,0,0,25,0,0
10006,commons-lang,ObjectUtils,0,135,24982,105,1072,17,3565,3.325559701492537,2.7080223880597014,49,1027,1,3,8,24,6,0,0,0,0
10007,commons-lang,PrivateClass,0,3,162,0,2,4,31,15.5,13.5,7,10,0,0,0,0,0,0,0,0,0
10008,commons-lang,TypeLiteral,0,27,2510,12,100,11,411,4.11,2.62,37,112,0,0,0,2,0,0,0,0,0
10009,commons-lang,ExtendedMessageFormat,0,117,12080,126,1159,14,3256,2.809318377911993,2.092320966350302,56,953,1,1,7,25,0,0,0,0,0
10010,commons-lang,TypeUtilsTest,24,249,27471,639,4677,12,11651,2.491126790677785,10.155441522343382,40,3625,0,0,0,1,1,8,171,0,0
10011,commons-lang,TimeZoneStrategy,0,62,1869,21,292,14,859,2.941780821917808,1.6130136986301369,42,231,0,0,3,5,1,0,0,0,0
10012,commons-lang,CharEncoding,0,18,2846,1,24,8,176,7.333333333333333,8.041666666666666,26,52,1,1,0,1,0,0,0,0,0
10013,commons-lang,BasicThreadFactory,0,55,9287,28,258,10,1030,3.992248062015504,3.2325581395348837,30,286,0,0,0,5,1,0,0,0,0
10014,commons-lang,DurationFormatUtils,0,122,15638,140,1663,22,4487,2.698135898977751,1.814792543595911,50,1440,0,0,13,43,13,0,0,0,0
10015,commons-lang,TestTTSubObject,0,6,169,0,10,7,68,6.8,4.4,17,17,0,0,0,0,0,0,0,0,0
10016,commons-lang,GenericTypeHolder,0,11,200,0,0,6,83,0,0,12,13,0,0,0,0,0,0,0,0,0
10017,commons-lang,This,0,3,26,0,0,3,11,0,0,4,3,0,0,0,0,0,0,0,0,0
10018,commons-lang,MutableShortTest,22,63,6052,170,1153,10,2735,2.3720728534258457,1.2679965307892453,25,849,3,3,0,0,0,14,72,0,0
10019,commons-lang,AtomicInitializer,0,12,2950,4,35,11,185,5.285714285714286,2.9714285714285715,25,54,0,0,0,2,0,0,0,0,0
10020,commons-lang,ReflectionDiffBuilderTest,6,56,2957,21,276,9,1074,3.891304347826087,3.4420289855072466,31,272,0,0,0,0,0,0,6,0,0
10021,commons-lang,RecursiveToStringStyle,0,30,1556,12,65,10,275,4.230769230769231,3.0615384615384613,29,83,0,0,0,1,1,0,0,0,0
10022,commons-lang,UncloneableString,0,6,197,0,3,5,51,17,15.333333333333334,16,10,0,0,0,0,0,0,0,0,0
10023,commons-lang,CopyQuotedStrategy,0,22,800,10,80,10,274,3.425,2.0125,28,80,0,0,1,2,0,0,0,0,0
10024,commons-lang,ContextedRuntimeExceptionTest,7,39,3059,54,378,14,987,2.611111111111111,1.2486772486772486,26,302,0,0,0,0,0,1,19,0,0
10025,commons-lang,AbstractExceptionContextTest,7,57,5331,165,665,10,1499,2.254135338345865,1.8045112781954886,25,591,0,0,0,0,0,8,54,0,0
10026,commons-lang,DiffBuilderTest,31,121,14585,294,2576,27,6384,2.4782608695652173,1.5271739130434783,38,1953,0,0,0,0,0,6,77,5,0
10027,commons-lang,TimedSemaphore,0,56,12119,25,262,12,1041,3.9732824427480917,4.488549618320611,42,263,0,0,0,8,1,0,0,0,0
10028,commons-lang,CharRangeTest,17,100,10282,442,2056,11,4167,2.026750972762646,3.502431906614786,34,1634,4,4,1,0,0,26,180,0,0
10029,commons-lang,PrivateInterface,0,1,34,0,0,2,4,0,0,3,1,0,0,0,0,0,0,0,0,0
10030,commons-lang,Ambig,0,5,67,0,1,4,23,23,25,9,6,0,0,0,0,0,0,0,0,0
10031,commons-lang,EventCounterWithEvent,0,6,149,0,7,6,56,8,5.285714285714286,13,9,0,0,0,0,0,0,0,0,0
10032,commons-lang,FastDateParser_MoreOrLessTest,7,39,2885,65,446,8,973,2.181614349775785,1.2847533632286996,17,343,0,0,0,0,0,0,22,0,0
10033,commons-lang,SystemPropertiesStrLookup,0,11,335,2,23,10,110,4.782608695652174,2.217391304347826,19,20,1,1,0,1,0,0,0,0,0
10034,commons-lang,AtomicSafeInitializerTestImpl,0,9,424,1,9,7,80,8.88888888888889,5.111111111111111,17,17,0,0,0,0,0,0,0,0,0
10035,commons-lang,UnicodeEscaper,0,22,3026,10,156,12,592,3.7948717948717947,2.8333333333333335,30,164,0,0,0,4,2,0,0,0,0
10036,commons-lang,SerializationUtilsTest,26,108,9035,152,1305,13,3342,2.560919540229885,1.867432950191571,42,964,2,2,1,0,0,0,53,0,0
10037,commons-lang,StandardToStringStyle,0,69,9468,0,182,6,1093,6.0054945054945055,10.203296703296703,20,295,0,0,0,0,0,0,0,0,0
10038,commons-lang,StringLiteral,0,15,476,2,16,6,116,7.25,7.0625,18,29,0,0,0,0,0,0,0,0,0
10039,commons-lang,ExtendedMessageFormatTest,10,124,12530,158,1478,12,3909,2.644790257104195,1.9600811907983762,43,1226,0,0,5,3,2,12,28,0,0
10040,commons-lang,Named,0,1,12,0,0,2,3,0,0,2,1,0,0,0,0,0,0,0,0,0
10041,commons-lang,LANG1261ChildObject,0,2,53,0,0,3,7,0,0,3,2,0,0,0,0,0,0,0,0,0
10042,commons-lang,AtomicInitializerTest,0,9,378,0,23,12,119,5.173913043478261,1.8695652173913044,14,17,0,0,0,0,0,0,0,0,0
10043,commons-lang,StringUtilsEmptyBlankTest,12,38,4941,186,797,10,1809,2.2697616060225845,1.4629861982434127,21,705,0,0,0,0,0,0,93,0,0
10044,commons-lang,BitFieldTest,15,41,6665,209,1275,11,2949,2.3129411764705883,1.3945098039215686,27,1073,0,0,9,0,0,0,95,0,0
10045,commons-lang,TestObjectHashCodeExclude2,0,6,222,0,19,7,105,5.526315789473684,3.6842105263157894,15,24,0,0,0,0,0,0,0,0,0
10046,commons-lang,SimpleClass,0,14,390,3,30,9,142,4.733333333333333,2.8666666666666667,21,37,0,0,0,0,0,0,0,0,0
10047,commons-lang,ReflectionToStringBuilderTest,1,9,212,0,12,8,66,5.5,1.8333333333333333,14,15,0,0,0,0,0,0,0,0,0
10048,commons-lang,TestRecursiveObject,0,8,349,0,22,7,139,6.318181818181818,4.2272727272727275,15,30,0,0,0,0,0,0,0,0,0
10049,commons-lang,PublicInnerClass,0,2,88,0,1,3,15,15,14,7,5,0,0,0,0,0,0,0,0,0
10050,commons-lang,WeekYearTest,2,43,1604,17,238,10,560,2.3529411764705883,1.9411764705882353,31,232,0,0,0,0,0,0,2,0,0
10051,commons-lang,StringUtilsIsTest,8,28,6009,224,796,8,1617,2.0314070351758793,1.7273869346733668,15,710,0,0,0,0,0,0,112,0,0
10052,commons-lang,Job,0,3,50,0,0,4,16,0,0,9,3,0,0,0,0,0,0,0,0,0
10053,commons-lang,ClassPathUtils,0,16,4136,15,94,8,308,3.276595744680851,3.0425531914893615,20,130,0,0,0,0,0,0,0,0,0
10054,commons-lang,RecursiveToStringStyleTest,8,57,4869,124,815,12,2251,2.761963190184049,1.2797546012269938,31,722,0,0,0,0,0,0,34,0,0
10055,commons-lang,StringUtilsEqualsIndexOfTest,37,106,32986,1009,5558,11,11311,2.0350845627923713,2.3431090320259087,38,4956,0,0,0,1,0,31,488,2,0
10056,commons-lang,CollectionHolder,0,4,127,0,7,7,62,8.857142857142858,3,16,13,0,0,0,0,0,0,0,0,0
10057,commons-lang,CharEncodingTest,5,24,1655,38,191,8,482,2.5235602094240837,1.4136125654450262,21,185,0,0,0,0,0,0,16,0,0
10058,commons-lang,BackgroundInitializerTest,15,86,6949,89,705,19,2011,2.852482269503546,1.5205673758865248,42,537,7,5,1,3,0,0,25,0,0
10059,commons-lang,StringUtils,0,475,255881,823,11265,17,31774,2.8205947625388372,4.237106080781181,56,9943,0,0,106,461,45,0,0,0,0
10060,commons-lang,CharMatcher,0,9,735,0,18,8,119,6.611111111111111,6.277777777777778,26,30,0,0,0,0,0,0,0,0,0
10061,commons-lang,Bar,0,4,54,0,0,4,21,0,0,10,5,0,0,0,0,0,0,0,0,0
10062,commons-lang,SelfInstanceTwoVarsReflectionTestFixture,0,10,387,1,18,7,107,5.944444444444445,3.8333333333333335,17,28,0,0,0,0,0,0,0,0,0
10063,commons-lang,MutableByteTest,25,66,6014,167,1140,10,2782,2.4403508771929823,1.3587719298245613,25,865,0,0,0,0,0,14,69,0,0
10064,commons-lang,CloneFailedException,0,8,706,0,10,5,94,9.4,8.7,15,25,0,0,0,0,0,0,0,0,0
10065,commons-lang,Customer,0,8,105,0,7,7,75,10.714285714285714,3.857142857142857,14,16,0,0,0,0,0,0,0,0,0
10066,commons-lang,TestThrowable,0,3,90,0,0,4,21,0,0,8,4,0,0,0,0,0,0,0,0,0
10067,commons-lang,FastDateParser,0,245,21665,156,1865,15,6553,3.513672922252011,3.489544235924933,55,1877,0,0,13,34,5,0,0,0,0
10068,commons-lang,JavaUnicodeEscaper,0,19,2488,5,61,8,266,4.360655737704918,4.360655737704918,26,78,0,0,0,0,0,0,0,0,0
10069,commons-lang,SystemDefaultsSwitchTest,4,33,1488,23,129,9,459,3.558139534883721,2.387596899224806,21,143,0,0,0,2,2,0,4,0,0
10070,commons-lang,SyncAvoid,0,15,421,4,0,10,156,0,0,17,32,0,0,0,0,0,0,0,0,0
10071,commons-lang,ConcurrentException,0,14,1262,2,15,6,98,6.533333333333333,6.066666666666666,17,34,0,0,0,0,0,0,0,0,0
10072,commons-lang,StandardToStringStyleTest,8,57,4651,123,758,12,2162,2.8522427440633247,1.3403693931398417,32,699,0,0,0,0,0,0,34,0,0
10073,commons-lang,EventCountCircuitBreakerTest,18,107,11301,124,1222,16,3047,2.493453355155483,1.713584288052373,44,985,1,1,9,0,0,0,39,0,4
10074,commons-lang,WordUtils,0,73,17607,67,877,16,2371,2.7035347776510834,1.5507411630558723,43,726,0,0,8,32,11,0,0,0,0
10075,commons-lang,ExceptionEventSource,0,5,140,0,5,7,42,8.4,3.8,10,6,0,0,0,0,0,0,0,0,0
10076,commons-lang,DClass,0,3,38,0,0,4,18,0,0,6,4,0,0,0,0,0,0,0,0,0
10077,commons-lang,AAClass,0,4,40,0,0,4,16,0,0,4,4,0,0,0,0,0,0,0,0,0
10078,commons-lang,CharacterLiteral,0,13,479,1,14,6,105,7.5,8,19,25,0,0,0,0,0,0,0,0,0
10079,commons-lang,TimeZoneDisplayKey,0,16,988,4,85,11,335,3.9411764705882355,2.0823529411764707,28,86,0,0,0,3,1,0,0,0,0
10080,commons-lang,RandomStringUtilsTest,18,117,15547,293,2693,14,6060,2.2502784998143333,1.8406981062012626,50,1989,12,12,30,20,0,22,89,18,0
10081,commons-lang,BaseClass,0,1,29,0,0,2,5,0,0,3,1,0,0,0,0,0,0,0,0,0
10082,commons-lang,NestingPerson,0,7,188,0,0,4,27,0,0,10,8,0,0,0,0,0,0,0,0,0
10083,commons-lang,TestBCanEqualA,0,10,384,2,61,12,257,4.213114754098361,1.639344262295082,23,53,0,0,0,3,0,0,0,0,0
10084,commons-lang,Foo,0,5,64,0,0,4,25,0,0,11,7,0,0,0,0,0,0,0,0,0
10085,commons-lang,NoMatcher,0,8,577,0,5,5,61,12.2,16.4,17,15,0,0,0,0,0,0,0,0,0
10086,commons-lang,ExceptionUtils,0,127,22121,84,1019,13,3172,3.112855740922473,2.1923454367026496,55,893,2,2,10,26,3,0,0,0,0
10087,commons-lang,CompositeFormat,0,26,2137,4,45,7,289,6.4222222222222225,6.5777777777777775,25,99,0,0,0,0,0,0,0,0,0
10088,commons-lang,Outer,0,8,212,2,12,7,85,7.083333333333333,3.25,13,22,0,0,0,0,0,0,0,0,0
10089,commons-lang,ImmutablePairTest,13,53,2992,91,483,11,1199,2.4824016563147,1.5113871635610765,23,406,0,0,0,0,0,4,35,0,0
10090,commons-lang,MutablePair,0,16,1623,2,59,8,356,6.033898305084746,6.101694915254237,26,93,0,0,0,0,0,0,0,0,0
10091,commons-lang,ReflectionToStringBuilderConcurrencyTest,3,54,2234,20,289,15,915,3.1660899653979238,1.491349480968858,33,210,0,0,4,0,0,0,2,0,0
10092,commons-lang,MapStrLookup,0,13,643,2,36,7,167,4.638888888888889,2.7222222222222223,25,43,0,0,0,2,0,0,0,0,0
10093,commons-lang,GenericConsumer,0,4,51,0,0,5,23,0,0,8,5,0,0,0,0,0,0,0,0,0
10094,commons-lang,DateFormatUtilsTest,12,99,7528,181,1035,10,2439,2.356521739130435,1.6975845410628019,33,899,0,0,0,0,0,0,27,0,0
10095,commons-lang,ObjectUtilsTest,44,198,19106,402,2658,12,6432,2.419864559819413,2.174943566591422,51,2182,15,17,0,0,0,9,159,0,0
10096,commons-lang,Diffable,0,7,1100,0,0,5,27,0,0,11,12,0,0,0,0,0,0,0,0,0
10097,commons-lang,EventCountCircuitBreakerTestImpl,0,14,917,0,18,6,120,6.666666666666667,7.388888888888889,19,30,0,0,0,0,0,0,0,0,0
10098,commons-lang,StrTokenizerTest,55,144,20726,633,3957,14,8657,2.18776851149861,1.8423047763457165,47,3032,6,6,9,0,0,4,238,0,0
10099,commons-lang,MultilineRecursiveToStringStyleTest,11,57,4550,45,721,10,1813,2.5145631067961167,4.287101248266297,32,623,0,0,1,0,0,0,11,0,0
10100,commons-lang,NoFieldNameToStringStyle,0,7,553,1,10,6,61,6.1,6.4,19,12,0,0,0,0,0,0,0,0,0
10101,commons-lang,CharSetUtilsTest,11,37,8083,286,1492,10,3346,2.242627345844504,1.5971849865951742,29,1247,0,0,0,0,0,0,142,0,0
10102,commons-lang,CharSequenceUtils,0,38,6888,33,530,12,1441,2.718867924528302,1.450943396226415,41,418,0,0,6,21,0,0,0,0,0
10103,commons-lang,MultiLineTestObject,0,9,254,3,12,9,76,6.333333333333333,2.4166666666666665,18,20,0,0,0,0,0,0,0,0,0
10104,commons-lang,ImmutableTripleTest,12,56,3915,109,634,11,1453,2.2917981072555205,1.5694006309148265,23,534,0,0,0,0,0,4,45,0,0
10105,commons-lang,LocaleUtilsTest,16,119,13510,241,1803,16,4470,2.4792013311148087,1.545757071547421,44,1328,23,23,6,10,1,0,70,0,0
10106,commons-lang,StrLookupTest,6,39,2376,63,345,9,802,2.3246376811594205,1.2405797101449276,25,265,3,1,0,0,0,0,17,0,0
10107,commons-lang,StringParameterizedChild,0,6,206,0,5,6,48,9.6,6,15,13,0,0,0,0,0,0,0,0,0
10108,commons-lang,TestFixture,0,6,166,0,25,7,122,4.88,2.64,14,32,0,0,0,0,0,0,0,0,0
10109,commons-lang,ThreadUtils,0,62,12792,55,559,12,1957,3.5008944543828266,2.4669051878354202,44,578,0,0,4,6,0,0,0,0,0
10110,commons-lang,ThreadPredicate,0,4,232,0,0,5,22,0,0,10,5,0,0,0,0,0,0,0,0,0
10111,commons-lang,StrategyParser,0,25,1191,16,182,13,502,2.758241758241758,1.0714285714285714,33,131,0,0,2,6,1,0,0,0,0
10112,commons-lang,DiffBuilder,0,53,15762,104,1570,14,4793,3.0528662420382164,1.7484076433121019,41,1103,0,0,1,48,1,0,0,0,0
10113,commons-lang,PublicChild,0,10,265,0,4,4,62,15.5,20.75,12,17,0,0,0,0,0,0,0,0,0
10114,commons-lang,ToStringBuilder,0,50,24477,78,714,10,2887,4.043417366946779,6.943977591036415,37,957,0,0,0,5,1,0,0,0,0
10115,commons-lang,RegExUtils,0,21,15721,14,167,9,699,4.18562874251497,3.4730538922155687,19,463,0,0,0,5,0,0,0,0,0
10116,commons-lang,BBBClass,0,3,43,0,0,4,15,0,0,5,3,0,0,0,0,0,0,0,0,0
