Nº,Project,TestClassName,No. Tests,Vocabulary,Non Whithe Characters,No. Method Invoctions,AST size,Max Depth,Sum Depths,Avg Depth,Branching,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Conditions,No. Else,Bad API,Junit,Hamcrest,Mockito
214,RxJava,MaybeFlatMapNotification,0,47,3305,26,270,12,1505,5.574074074074074,2.8777777777777778,31,316,3,3,0,1,0,0,0,0,0
215,RxJava,ObservableElementAtTest,28,88,5548,163,826,19,2779,3.364406779661017,1.6670702179176755,25,699,3,0,0,0,0,0,8,0,0
216,RxJava,MaybeIsEmpty,0,27,1051,8,71,10,420,5.915492957746479,4.084507042253521,27,101,0,0,0,1,0,0,0,0,0
217,RxJava,FlowableReduceTest,29,138,10375,241,2081,23,6022,2.8938010571840462,1.466122056703508,34,1457,3,1,0,0,0,0,7,0,0
218,RxJava,FlowableDistinctUntilChangedTest,24,133,9888,285,2039,18,5437,2.666503187837175,1.807748896517901,31,1584,1,0,0,1,0,0,1,0,0
219,RxJava,ObservableTakeUntil,0,40,2160,22,194,10,863,4.448453608247423,3.6804123711340204,26,236,0,0,0,0,0,0,0,0,0
220,RxJava,ListSorter,0,11,249,1,16,7,152,9.5,4.3125,19,33,0,0,0,0,0,0,0,0,0
221,RxJava,CompletableLiftTest,1,22,380,6,58,16,222,3.8275862068965516,1.0172413793103448,20,38,1,0,0,0,0,0,0,0,0
222,RxJava,SubscriberResourceWrapperTest,5,43,1610,37,293,20,947,3.2320819112627985,1.2252559726962458,20,207,0,0,0,0,0,0,9,0,0
223,RxJava,BufferBoundaryTckTest,0,19,320,7,26,10,136,5.230769230769231,2.3846153846153846,13,37,0,0,0,0,0,0,0,0,0
224,RxJava,DoFinallySubscriber,0,48,1464,19,196,13,798,4.071428571428571,2.811224489795918,32,199,1,1,0,6,0,0,0,0,0
225,RxJava,CollectTckTest,0,22,399,5,57,13,222,3.8947368421052633,1.8421052631578947,16,49,0,0,0,0,0,0,0,0,0
226,RxJava,UnicastProcessorTckTest,0,25,747,4,61,8,266,4.360655737704918,2.5245901639344264,18,64,0,0,0,0,0,0,0,0,0
227,RxJava,ObservableReplayTest,59,286,35133,1047,7212,23,17461,2.4211037160288407,1.6694398225180256,49,5249,2,1,16,5,0,0,60,0,0
228,RxJava,FlowableGenerateTest,13,72,4665,77,1049,18,3169,3.020972354623451,1.215443279313632,33,633,3,1,2,0,0,0,1,0,0
229,RxJava,ObservableSubscribeOn,0,36,1521,13,124,10,657,5.298387096774194,3.6129032258064515,24,160,0,0,0,0,0,0,0,0,0
230,RxJava,QueueFuseable,0,11,2254,0,0,5,80,0,0,19,43,0,0,0,0,0,0,0,0,0
231,RxJava,SingleToFlowableObserver,0,22,578,5,43,9,241,5.604651162790698,4.069767441860465,23,61,0,0,0,1,0,0,0,0,0
232,RxJava,XFlatMapTest,18,82,10171,319,2024,19,6134,3.030632411067194,1.099802371541502,28,1394,19,1,0,1,0,0,18,0,0
233,RxJava,CompletableMerge,0,62,3273,54,407,15,1503,3.692874692874693,2.081081081081081,27,383,0,0,0,18,11,0,0,0,0
234,RxJava,FlowableSwitchMapMaybeEmptyPerf,0,48,1429,12,186,15,739,3.9731182795698925,2.032258064516129,30,176,0,0,0,0,0,0,0,0,0
235,RxJava,EmptyRunnable,0,6,130,0,4,5,39,9.75,8.75,10,10,0,0,0,0,0,0,0,0,0
236,RxJava,FlowableDoOnLifecycle,0,41,1927,19,212,11,900,4.245283018867925,2.4858490566037736,27,228,3,3,0,3,1,0,0,0,0
237,RxJava,SubscriberObserver,0,22,539,5,42,7,261,6.214285714285714,5.142857142857143,19,67,0,0,0,0,0,0,0,0,0
238,RxJava,IntervalTckTest,0,14,238,3,18,9,97,5.388888888888889,2.8333333333333335,15,26,0,0,0,0,0,0,0,0,0
239,RxJava,BadFlowableDispose,0,23,492,4,38,9,211,5.552631578947368,2.763157894736842,20,43,1,1,0,0,0,0,0,0,0
240,RxJava,ImmediateAction,0,14,329,1,17,8,113,6.647058823529412,3.7058823529411766,19,30,0,0,0,0,0,0,0,0,0
241,RxJava,Counter,0,12,277,1,14,7,121,8.642857142857142,6.357142857142857,18,27,0,0,0,0,0,0,0,0,0
242,RxJava,CompletableSubscribeOnTest,3,41,735,17,114,13,350,3.0701754385964914,1.0614035087719298,20,84,1,0,0,0,0,0,1,0,0
243,RxJava,BlockingFlowableMostRecent,0,39,1899,12,139,13,640,4.60431654676259,2.4388489208633093,33,161,1,0,0,3,0,0,0,0,0
244,RxJava,Amb,0,20,591,8,64,8,262,4.09375,2.609375,18,74,0,0,0,2,1,0,0,0,0
245,RxJava,SingleMergeTest,11,40,1975,70,342,12,992,2.9005847953216373,1.5760233918128654,19,316,1,0,0,0,0,0,1,0,0
246,RxJava,MaybeConcatArrayTest,9,64,2830,70,568,17,1613,2.839788732394366,1.221830985915493,33,434,1,0,2,0,0,0,2,0,0
247,RxJava,QueueDrainObserver,0,41,1989,20,200,12,770,3.85,3.405,28,199,0,0,0,7,3,0,0,0,0
248,RxJava,ObservableConcatMapCompletable,0,83,4458,56,620,17,2105,3.3951612903225805,2.0612903225806454,39,545,1,1,0,24,5,0,0,0,0
249,RxJava,SingleOnSubscribe,0,7,407,0,0,6,40,0,0,13,13,0,0,0,0,0,0,0,0,0
250,RxJava,TestObserverTest,79,238,29652,699,5490,15,13701,2.4956284153005464,1.718214936247723,39,3747,68,68,1,0,0,0,58,0,0
251,RxJava,MaybeIgnoreElementCompletable,0,34,1298,9,109,10,523,4.798165137614679,3.165137614678899,25,135,0,0,0,1,0,0,0,0,0
252,RxJava,NeverMaybe,0,9,173,0,4,7,69,17.25,10.75,13,14,0,0,0,0,0,0,0,0,0
253,RxJava,MaybeEmptyTest,1,13,194,6,36,11,124,3.4444444444444446,0.8333333333333334,17,28,0,0,0,0,0,0,2,0,0
254,RxJava,FlowableOnErrorReturn,0,32,1127,8,89,12,525,5.898876404494382,2.865168539325843,29,113,1,1,0,0,0,0,0,0,0
255,RxJava,ObservableOnErrorReturn,0,35,1453,14,147,12,710,4.829931972789115,2.6258503401360542,29,166,1,1,0,2,0,0,0,0,0
256,RxJava,FlowableFlatMapMaybeTest,33,135,11830,281,2427,22,7527,3.1013597033374536,1.4610630407911,38,1680,2,0,2,4,0,0,6,0,0
257,RxJava,ConcatPublisherEagerTckTest,0,13,264,6,26,11,121,4.653846153846154,1.8461538461538463,14,35,0,0,0,0,0,0,0,0,0
258,RxJava,ObservableFlatMapCompletableCompletable,0,66,3181,39,329,14,1361,4.13677811550152,2.8085106382978724,34,345,1,1,0,8,3,0,0,0,0
259,RxJava,GroupByTckTest,0,19,346,4,46,13,184,4,1.6956521739130435,20,45,0,0,0,0,0,0,0,0,0
260,RxJava,SkipWhileSubscriber,0,29,952,13,118,11,501,4.245762711864407,2.6186440677966103,26,123,1,1,0,3,2,0,0,0,0
261,RxJava,FlowableAnyTest,34,122,13487,422,2810,19,7376,2.6249110320284696,1.198932384341637,30,1955,2,0,0,0,0,0,4,0,0
262,RxJava,FunctionsTest,25,105,5980,65,940,12,2874,3.057446808510638,2.0308510638297874,36,725,3,2,2,0,0,0,9,0,0
263,RxJava,FirstTckTest,0,13,232,3,14,8,90,6.428571428571429,3.7857142857142856,13,24,0,0,0,0,0,0,0,0,0
264,RxJava,TakeWhileSubscriber,0,30,1003,14,137,9,522,3.81021897810219,2.372262773722628,26,133,1,1,0,5,0,0,0,0,0
265,RxJava,FlowableMapTest,28,159,12275,268,2481,22,7085,2.8557033454252316,1.335751713018944,37,1694,3,0,0,2,1,0,3,0,0
266,RxJava,ReplaySubjectTest,54,216,23044,768,4688,17,10707,2.28391638225256,1.8116467576791808,43,3528,4,4,10,2,1,0,133,0,0
267,RxJava,SingleFlatMapMaybeTest,10,42,2740,48,510,18,1763,3.4568627450980394,1.1627450980392158,26,329,0,0,0,2,0,0,0,0,0
268,RxJava,TimeIntervalObserver,0,28,889,9,106,9,462,4.3584905660377355,3.0754716981132075,24,122,0,0,0,1,0,0,0,0,0
269,RxJava,ObservableLiftTest,1,22,370,7,69,16,254,3.681159420289855,0.855072463768116,21,42,1,1,0,0,0,0,2,0,0
